Date,Price
1990-01-02,8.35
1990-01-03,8.48
1990-01-04,8.44
1990-01-05,8.48
1990-01-08,8.64
1990-01-09,8.56
1990-01-10,8.48
1990-01-11,8.48
1990-01-12,8.27
1990-01-15,8.01
1990-01-16,7.97
1990-01-17,7.84
1990-01-18,7.8
1990-01-19,7.68
1990-01-22,7.48
1990-01-23,7.33
1990-01-24,7.23
1990-01-25,7.31
1990-01-26,7.09
1990-01-29,7.09
1990-01-30,6.86
1990-01-31,7.19
1990-02-01,7.44
1990-02-02,7.37
1990-02-05,7.39
1990-02-06,7.37
1990-02-07,7.58
1990-02-08,7.66
1990-02-09,7.8
1990-02-12,7.68
1990-02-13,7.66
1990-02-14,7.68
1990-02-15,7.8
1990-02-16,7.8
1990-02-20,7.5
1990-02-21,7.54
1990-02-22,7.54
1990-02-23,7.46
1990-02-26,7.58
1990-02-27,7.74
1990-02-28,7.82
1990-03-01,7.84
1990-03-02,7.84
1990-03-05,7.98
1990-03-06,8.18
1990-03-07,8.06
1990-03-08,8.02
1990-03-09,7.9
1990-03-12,7.82
1990-03-13,7.78
1990-03-14,7.86
1990-03-15,7.96
1990-03-16,8.06
1990-03-19,8.02
1990-03-20,7.94
1990-03-21,7.9
1990-03-22,7.82
1990-03-23,7.84
1990-03-26,7.82
1990-03-27,7.92
1990-03-28,7.88
1990-03-29,7.8
1990-03-30,7.78
1990-04-02,7.61
1990-04-03,7.82
1990-04-04,7.78
1990-04-05,7.78
1990-04-06,7.69
1990-04-09,7.78
1990-04-10,7.94
1990-04-11,8.04
1990-04-12,8.1
1990-04-16,8.08
1990-04-17,7.96
1990-04-18,7.86
1990-04-19,7.9
1990-04-20,7.69
1990-04-23,7.53
1990-04-24,7.39
1990-04-25,7.37
1990-04-26,7.41
1990-04-27,7.41
1990-04-30,7.43
1990-05-01,7.41
1990-05-02,7.24
1990-05-03,7.18
1990-05-04,7.47
1990-05-07,7.45
1990-05-08,7.45
1990-05-09,7.43
1990-05-10,7.49
1990-05-11,7.63
1990-05-14,7.92
1990-05-15,7.9
1990-05-16,7.86
1990-05-17,7.92
1990-05-18,7.88
1990-05-21,7.88
1990-05-22,7.98
1990-05-23,7.86
1990-05-24,7.96
1990-05-25,7.9
1990-05-29,8.31
1990-05-30,8.81
1990-05-31,8.73
1990-06-01,8.79
1990-06-04,9.02
1990-06-05,8.79
1990-06-06,8.75
1990-06-07,8.85
1990-06-08,8.75
1990-06-11,8.85
1990-06-12,9.26
1990-06-13,9.14
1990-06-14,9.18
1990-06-15,9.37
1990-06-18,9.0
1990-06-19,9.06
1990-06-20,9.02
1990-06-21,9.02
1990-06-22,8.98
1990-06-25,9.1
1990-06-26,9.22
1990-06-27,9.12
1990-06-28,9.26
1990-06-29,9.33
1990-07-02,9.26
1990-07-03,9.41
1990-07-05,9.35
1990-07-06,9.45
1990-07-09,9.47
1990-07-10,9.45
1990-07-11,9.63
1990-07-12,9.84
1990-07-13,9.98
1990-07-16,10.49
1990-07-17,10.41
1990-07-18,10.25
1990-07-19,10.27
1990-07-20,10.12
1990-07-23,9.84
1990-07-24,9.82
1990-07-25,9.98
1990-07-26,9.92
1990-07-27,9.78
1990-07-30,9.61
1990-07-31,9.69
1990-08-01,9.67
1990-08-02,9.59
1990-08-03,9.28
1990-08-06,8.94
1990-08-07,8.92
1990-08-08,9.2
1990-08-09,9.2
1990-08-10,9.06
1990-08-13,9.1
1990-08-14,9.14
1990-08-15,9.22
1990-08-16,8.98
1990-08-17,8.98
1990-08-20,9.02
1990-08-21,8.83
1990-08-22,8.61
1990-08-23,7.93
1990-08-24,8.2
1990-08-27,8.65
1990-08-28,8.72
1990-08-29,8.91
1990-08-30,8.7
1990-08-31,8.68
1990-09-04,8.64
1990-09-05,8.83
1990-09-06,8.81
1990-09-07,8.99
1990-09-10,8.91
1990-09-11,9.15
1990-09-12,9.2
1990-09-13,9.13
1990-09-14,9.17
1990-09-17,9.01
1990-09-18,8.97
1990-09-19,8.85
1990-09-20,8.62
1990-09-21,8.68
1990-09-24,8.56
1990-09-25,8.58
1990-09-26,8.56
1990-09-27,8.37
1990-09-28,8.19
1990-10-01,8.29
1990-10-02,8.54
1990-10-03,8.5
1990-10-04,8.5
1990-10-05,8.31
1990-10-08,8.42
1990-10-09,8.11
1990-10-10,7.82
1990-10-11,7.23
1990-10-12,7.39
1990-10-15,7.45
1990-10-16,7.51
1990-10-17,7.53
1990-10-18,7.64
1990-10-19,7.9
1990-10-22,7.92
1990-10-23,7.96
1990-10-24,7.74
1990-10-25,7.55
1990-10-26,7.45
1990-10-29,7.27
1990-10-30,7.23
1990-10-31,6.3
1990-11-01,6.16
1990-11-02,6.2
1990-11-05,6.28
1990-11-06,6.24
1990-11-07,6.22
1990-11-08,6.18
1990-11-09,6.34
1990-11-12,6.42
1990-11-13,6.32
1990-11-14,6.38
1990-11-15,6.51
1990-11-16,6.51
1990-11-19,6.55
1990-11-20,6.36
1990-11-21,6.32
1990-11-23,6.32
1990-11-26,6.4
1990-11-27,6.47
1990-11-28,6.42
1990-11-29,6.53
1990-11-30,6.51
1990-12-03,6.49
1990-12-04,6.36
1990-12-05,6.49
1990-12-06,6.77
1990-12-07,6.81
1990-12-10,7.02
1990-12-11,6.94
1990-12-12,6.94
1990-12-13,7.12
1990-12-14,7.39
1990-12-17,7.14
1990-12-18,7.14
1990-12-19,7.14
1990-12-20,7.1
1990-12-21,7.2
1990-12-24,7.1
1990-12-26,6.98
1990-12-27,6.98
1990-12-28,6.85
1990-12-31,7.08
1991-01-02,6.93
1991-01-03,6.77
1991-01-04,6.73
1991-01-07,6.5
1991-01-08,6.46
1991-01-09,6.42
1991-01-10,6.58
1991-01-11,6.54
1991-01-14,6.34
1991-01-15,6.25
1991-01-16,6.36
1991-01-17,6.64
1991-01-18,6.58
1991-01-21,6.66
1991-01-22,6.62
1991-01-23,6.81
1991-01-24,7.06
1991-01-25,7.1
1991-01-28,7.12
1991-01-29,7.08
1991-01-30,7.12
1991-01-31,6.66
1991-02-01,6.83
1991-02-04,6.66
1991-02-05,6.85
1991-02-06,7.34
1991-02-07,7.47
1991-02-08,7.59
1991-02-11,8.1
1991-02-12,7.92
1991-02-13,7.73
1991-02-14,7.78
1991-02-15,7.78
1991-02-19,7.59
1991-02-20,7.47
1991-02-21,7.47
1991-02-22,7.4
1991-02-25,7.34
1991-02-26,7.2
1991-02-27,7.36
1991-02-28,7.4
1991-03-01,7.57
1991-03-04,7.65
1991-03-05,7.96
1991-03-06,8.17
1991-03-07,8.19
1991-03-08,8.43
1991-03-11,8.39
1991-03-12,8.29
1991-03-13,8.29
1991-03-14,8.25
1991-03-15,8.39
1991-03-18,8.23
1991-03-19,8.04
1991-03-20,8.0
1991-03-21,7.9
1991-03-22,7.9
1991-03-25,7.98
1991-03-26,7.9
1991-03-27,7.71
1991-03-28,7.82
1991-04-01,7.75
1991-04-02,8.0
1991-04-03,8.06
1991-04-04,8.0
1991-04-05,7.87
1991-04-08,8.08
1991-04-09,7.73
1991-04-10,7.95
1991-04-11,8.0
1991-04-12,8.02
1991-04-15,8.08
1991-04-16,7.89
1991-04-17,7.83
1991-04-18,8.16
1991-04-19,8.33
1991-04-22,8.16
1991-04-23,8.12
1991-04-24,8.04
1991-04-25,8.0
1991-04-26,7.87
1991-04-29,7.81
1991-04-30,7.69
1991-05-01,7.91
1991-05-02,7.69
1991-05-03,8.18
1991-05-06,8.08
1991-05-07,7.95
1991-05-08,7.98
1991-05-09,8.06
1991-05-10,7.93
1991-05-13,7.91
1991-05-14,7.77
1991-05-15,7.81
1991-05-16,7.81
1991-05-17,7.81
1991-05-20,7.83
1991-05-21,7.91
1991-05-22,8.04
1991-05-23,8.02
1991-05-24,8.18
1991-05-28,7.98
1991-05-29,7.98
1991-05-30,8.22
1991-05-31,8.39
1991-06-03,8.37
1991-06-04,8.33
1991-06-05,8.22
1991-06-06,8.16
1991-06-07,8.14
1991-06-10,8.14
1991-06-11,8.33
1991-06-12,8.24
1991-06-13,8.26
1991-06-14,8.41
1991-06-17,8.43
1991-06-18,8.35
1991-06-19,8.0
1991-06-20,7.95
1991-06-21,8.16
1991-06-24,8.02
1991-06-25,7.91
1991-06-26,7.87
1991-06-27,7.91
1991-06-28,7.91
1991-07-01,7.95
1991-07-02,7.89
1991-07-03,7.76
1991-07-05,7.78
1991-07-08,7.95
1991-07-09,7.93
1991-07-10,8.01
1991-07-11,7.87
1991-07-12,7.76
1991-07-15,7.89
1991-07-16,7.95
1991-07-17,7.43
1991-07-18,7.33
1991-07-19,7.37
1991-07-22,7.31
1991-07-23,7.27
1991-07-24,7.25
1991-07-25,7.21
1991-07-26,7.23
1991-07-29,6.98
1991-07-30,6.92
1991-07-31,6.88
1991-08-01,6.9
1991-08-02,6.96
1991-08-05,7.0
1991-08-06,7.14
1991-08-07,7.31
1991-08-08,7.33
1991-08-09,7.35
1991-08-12,7.21
1991-08-13,7.02
1991-08-14,6.9
1991-08-15,6.73
1991-08-16,6.63
1991-08-19,6.44
1991-08-20,6.57
1991-08-21,6.79
1991-08-22,6.79
1991-08-23,6.85
1991-08-26,6.88
1991-08-27,6.81
1991-08-28,6.81
1991-08-29,6.83
1991-08-30,6.83
1991-09-03,6.79
1991-09-04,6.73
1991-09-05,6.46
1991-09-06,6.52
1991-09-09,6.57
1991-09-10,6.42
1991-09-11,6.52
1991-09-12,6.46
1991-09-13,6.4
1991-09-16,6.42
1991-09-17,6.38
1991-09-18,6.38
1991-09-19,6.34
1991-09-20,6.3
1991-09-23,6.32
1991-09-24,6.4
1991-09-25,6.48
1991-09-26,6.46
1991-09-27,6.42
1991-09-30,6.4
1991-10-01,6.48
1991-10-02,5.75
1991-10-03,5.59
1991-10-04,5.61
1991-10-07,5.55
1991-10-08,5.61
1991-10-09,5.55
1991-10-10,5.59
1991-10-11,5.63
1991-10-14,5.63
1991-10-15,5.57
1991-10-16,5.55
1991-10-17,5.55
1991-10-18,5.63
1991-10-21,5.79
1991-10-22,5.86
1991-10-23,5.71
1991-10-24,5.77
1991-10-25,5.79
1991-10-28,5.94
1991-10-29,5.26
1991-10-30,5.36
1991-10-31,5.53
1991-11-01,5.44
1991-11-04,5.4
1991-11-05,5.53
1991-11-06,5.53
1991-11-07,5.67
1991-11-08,5.63
1991-11-11,5.55
1991-11-12,5.42
1991-11-13,5.36
1991-11-14,5.48
1991-11-15,5.38
1991-11-18,5.4
1991-11-19,5.3
1991-11-20,5.3
1991-11-21,5.3
1991-11-22,5.3
1991-11-25,5.3
1991-11-26,5.3
1991-11-27,5.21
1991-11-29,5.17
1991-12-02,5.21
1991-12-03,5.21
1991-12-04,5.28
1991-12-05,5.15
1991-12-06,4.95
1991-12-09,4.76
1991-12-10,4.82
1991-12-11,4.78
1991-12-12,4.82
1991-12-13,4.88
1991-12-16,4.9
1991-12-17,4.84
1991-12-18,4.9
1991-12-19,4.9
1991-12-20,5.09
1991-12-23,5.36
1991-12-24,5.38
1991-12-26,5.48
