Date,Price
2000-01-03,23.54
2000-01-04,23.2
2000-01-05,22.6
2000-01-06,22.65
2000-01-07,22.5
2000-01-10,22.6
2000-01-11,21.86
2000-01-12,21.76
2000-01-13,21.27
2000-01-14,20.97
2000-01-17,20.82
2000-01-18,20.43
2000-01-19,20.38
2000-01-20,20.03
2000-01-21,20.08
2000-01-24,19.88
2000-01-25,19.44
2000-01-26,19.54
2000-01-27,19.93
2000-01-28,19.68
2000-01-31,20.13
2000-02-01,19.78
2000-02-02,19.63
2000-02-03,19.09
2000-02-04,19.09
2000-02-07,19.04
2000-02-08,18.99
2000-02-09,19.09
2000-02-10,20.08
2000-02-11,19.78
2000-02-14,18.94
2000-02-15,18.65
2000-02-16,18.74
2000-02-17,18.65
2000-02-18,18.55
2000-02-21,18.94
2000-02-22,19.09
2000-02-23,18.79
2000-02-24,18.3
2000-02-25,18.2
2000-02-28,17.8
2000-02-29,18.94
2000-03-01,20.23
2000-03-02,20.23
2000-03-03,19.54
2000-03-06,21.51
2000-03-07,20.33
2000-03-08,19.93
2000-03-09,20.28
2000-03-10,20.23
2000-03-13,19.19
2000-03-14,19.04
2000-03-15,18.94
2000-03-16,20.08
2000-03-17,20.48
2000-03-20,19.83
2000-03-21,20.03
2000-03-22,20.33
2000-03-23,19.93
2000-03-24,20.72
2000-03-27,20.48
2000-03-28,20.62
2000-03-29,20.72
2000-03-30,20.97
2000-03-31,20.57
2000-04-03,21.17
2000-04-04,22.7
2000-04-05,21.37
2000-04-06,21.41
2000-04-07,21.71
2000-04-10,21.96
2000-04-11,21.46
2000-04-12,21.71
2000-04-13,21.27
2000-04-14,20.72
2000-04-17,20.08
2000-04-18,20.33
2000-04-19,20.38
2000-04-20,20.28
2000-04-21,23.98
2000-04-24,23.98
2000-04-25,20.82
2000-04-26,21.46
2000-04-27,21.96
2000-04-28,22.06
2000-05-01,26.08
2000-05-02,22.16
2000-05-03,21.91
2000-05-04,22.55
2000-05-05,22.35
2000-05-08,21.96
2000-05-09,22.06
2000-05-10,22.06
2000-05-11,22.01
2000-05-12,22.31
2000-05-15,22.65
2000-05-16,23.49
2000-05-17,23.84
2000-05-18,24.18
2000-05-19,23.84
2000-05-22,22.6
2000-05-23,23.79
2000-05-24,23.69
2000-05-25,23.84
2000-05-26,23.69
2000-05-29,23.39
2000-05-30,23.59
2000-05-31,23.44
2000-06-01,23.94
2000-06-02,24.23
2000-06-05,24.13
2000-06-06,24.23
2000-06-07,24.28
2000-06-08,24.09
2000-06-09,23.89
2000-06-12,23.69
2000-06-13,24.13
2000-06-14,24.13
2000-06-15,24.13
2000-06-16,23.49
2000-06-19,23.69
2000-06-20,23.54
2000-06-21,23.64
2000-06-22,23.64
2000-06-23,23.89
2000-06-26,23.94
2000-06-27,24.09
2000-06-28,24.23
2000-06-29,24.38
2000-06-30,24.78
2000-07-03,24.88
2000-07-04,24.83
2000-07-05,24.98
2000-07-06,25.42
2000-07-07,25.72
2000-07-10,25.72
2000-07-11,26.06
2000-07-12,26.46
2000-07-13,26.26
2000-07-14,26.06
2000-07-17,25.77
2000-07-18,25.92
2000-07-19,26.36
2000-07-20,26.51
2000-07-21,26.06
2000-07-24,25.62
2000-07-25,25.47
2000-07-26,25.37
2000-07-27,25.47
2000-07-28,25.47
2000-07-31,26.01
2000-08-01,26.06
2000-08-02,25.87
2000-08-03,25.87
2000-08-04,26.41
2000-08-07,27.79
2000-08-08,28.09
2000-08-09,28.29
2000-08-10,28.54
2000-08-11,28.09
2000-08-14,28.09
2000-08-15,33.22
2000-08-16,28.09
2000-08-17,27.75
2000-08-18,27.7
2000-08-21,27.84
2000-08-22,27.75
2000-08-23,28.39
2000-08-24,27.75
2000-08-25,27.55
2000-08-28,27.6
2000-08-29,27.84
2000-08-30,28.19
2000-08-31,28.78
2000-09-01,28.88
2000-09-04,28.93
2000-09-05,29.28
2000-09-06,29.18
2000-09-07,29.43
2000-09-08,29.08
2000-09-11,29.38
2000-09-12,28.54
2000-09-13,27.65
2000-09-14,27.75
2000-09-15,27.45
2000-09-18,27.89
2000-09-19,28.04
2000-09-20,27.15
2000-09-21,27.2
2000-09-22,27.79
2000-09-25,28.04
2000-09-26,28.29
2000-09-27,28.44
2000-09-28,28.73
2000-09-29,29.23
2000-10-02,29.18
2000-10-03,28.73
2000-10-04,28.39
2000-10-05,28.54
2000-10-06,28.04
2000-10-09,27.94
2000-10-10,28.09
2000-10-11,27.4
2000-10-12,27.4
2000-10-13,27.45
2000-10-16,27.79
