Date,Price
2000-01-03,99.91
2000-01-04,98.01
2000-01-05,95.84
2000-01-06,98.55
2000-01-07,99.46
2000-01-10,103.66
2000-01-11,103.07
2000-01-12,104.43
2000-01-13,106.46
2000-01-14,109.4
2000-01-17,108.27
2000-01-18,106.28
2000-01-19,105.15
2000-01-20,104.02
2000-01-21,104.84
2000-01-24,104.97
2000-01-25,104.43
2000-01-26,104.2
2000-01-27,104.07
2000-01-28,99.46
2000-01-31,97.6
2000-02-01,97.83
2000-02-02,97.24
2000-02-03,100.13
2000-02-04,100.13
2000-02-07,102.17
2000-02-08,102.62
2000-02-09,94.48
2000-02-10,94.21
2000-02-11,90.87
2000-02-14,92.09
2000-02-15,97.69
2000-02-16,98.64
2000-02-17,98.19
2000-02-18,98.1
2000-02-21,96.65
2000-02-22,96.65
2000-02-23,99.09
2000-02-24,99.91
2000-02-25,98.15
2000-02-28,97.06
2000-02-29,96.79
2000-03-01,98.78
2000-03-02,103.75
2000-03-03,106.24
2000-03-06,103.71
2000-03-07,97.65
2000-03-08,93.58
2000-03-09,93.94
2000-03-10,93.17
2000-03-13,93.17
2000-03-14,99.0
2000-03-15,98.78
2000-03-16,104.43
2000-03-17,106.01
2000-03-20,104.43
2000-03-21,104.02
2000-03-22,102.26
2000-03-23,101.17
2000-03-24,101.45
2000-03-27,101.49
2000-03-28,100.81
2000-03-29,100.72
2000-03-30,100.72
2000-03-31,102.17
2000-04-03,103.98
2000-04-04,106.69
2000-04-05,101.63
2000-04-06,101.54
2000-04-07,108.5
2000-04-10,104.43
2000-04-11,103.98
2000-04-12,102.71
2000-04-13,104.79
2000-04-14,102.3
2000-04-17,101.63
2000-04-18,101.45
2000-04-19,99.23
2000-04-20,101.54
2000-04-21,101.54
2000-04-24,101.54
2000-04-25,103.07
2000-04-26,102.62
2000-04-27,100.81
2000-04-28,102.89
2000-05-01,102.89
2000-05-02,104.38
2000-05-03,102.17
2000-05-04,102.17
2000-05-05,102.3
2000-05-08,102.49
2000-05-09,102.49
2000-05-10,105.56
2000-05-11,103.98
2000-05-12,102.85
2000-05-15,103.07
2000-05-16,103.98
2000-05-17,102.98
2000-05-18,101.17
2000-05-19,100.95
2000-05-22,101.45
2000-05-23,101.08
2000-05-24,99.0
2000-05-25,99.91
2000-05-26,100.13
2000-05-29,100.0
2000-05-30,100.18
2000-05-31,99.46
2000-06-01,100.18
2000-06-02,102.5
2000-06-05,102.96
2000-06-06,103.14
2000-06-07,104.02
2000-06-08,103.97
2000-06-09,104.29
2000-06-12,104.29
2000-06-13,103.1
2000-06-14,103.79
2000-06-15,106.96
2000-06-16,105.21
2000-06-19,105.21
2000-06-20,105.26
2000-06-21,101.26
2000-06-22,101.16
2000-06-23,98.22
2000-06-26,99.51
2000-06-27,99.55
2000-06-28,102.22
2000-06-29,96.93
2000-06-30,96.66
2000-07-03,102.08
2000-07-04,103.14
2000-07-05,105.49
2000-07-06,106.18
2000-07-07,106.18
2000-07-10,103.19
2000-07-11,105.76
2000-07-12,104.38
2000-07-13,103.19
2000-07-14,103.19
2000-07-17,103.88
2000-07-18,105.76
2000-07-19,104.2
2000-07-20,105.21
2000-07-21,105.21
2000-07-24,105.21
2000-07-25,103.88
2000-07-26,103.05
2000-07-27,103.05
2000-07-28,101.3
2000-07-31,100.89
2000-08-01,100.24
2000-08-02,101.95
2000-08-03,100.29
2000-08-04,102.31
2000-08-07,102.27
2000-08-08,101.72
2000-08-09,101.72
2000-08-10,100.01
2000-08-11,99.65
2000-08-14,100.24
2000-08-15,98.87
2000-08-16,99.0
2000-08-17,99.97
2000-08-18,99.78
2000-08-21,99.0
2000-08-22,97.49
2000-08-23,98.54
2000-08-24,98.96
2000-08-25,102.45
2000-08-28,100.98
2000-08-29,97.49
2000-08-30,97.44
2000-08-31,95.6
2000-09-01,95.55
2000-09-04,98.31
2000-09-05,97.39
2000-09-06,98.41
2000-09-07,103.0
2000-09-08,102.08
2000-09-11,101.16
2000-09-12,101.16
2000-09-13,100.38
2000-09-14,99.46
2000-09-15,100.29
2000-09-18,97.49
2000-09-19,96.84
2000-09-20,96.57
2000-09-21,95.42
2000-09-22,96.29
2000-09-25,96.57
2000-09-26,94.68
2000-09-27,93.85
2000-09-28,94.31
2000-09-29,92.57
2000-10-02,96.61
2000-10-03,97.03
2000-10-04,97.26
2000-10-05,98.59
2000-10-06,98.64
2000-10-09,99.33
2000-10-10,97.12
2000-10-11,95.42
2000-10-12,97.44
2000-10-13,95.97
2000-10-16,94.63
2000-10-17,92.57
2000-10-18,92.7
2000-10-19,93.44
