Date,Price
1991-01-04,30.85
1991-01-07,29.9
1991-01-08,30.27
1991-01-09,30.52
1991-01-10,30.44
1991-01-11,29.85
1991-01-14,30.1
1991-01-15,29.98
1991-01-16,29.22
1991-01-17,29.26
1991-01-18,29.22
1991-01-21,29.6
1991-01-22,29.4
1991-01-23,29.81
1991-01-29,30.1
1991-04-08,30.06
1991-04-09,30.1
1991-04-10,29.26
1991-04-11,30.14
1991-04-15,29.31
1991-04-16,29.35
1991-04-22,29.52
1991-04-23,29.22
1991-04-25,29.4
1991-05-13,29.4
1991-05-22,29.18
1991-05-23,28.98
1991-06-13,27.52
1991-06-18,28.6
1991-06-25,27.8
1991-07-29,27.1
1991-07-30,26.89
1991-07-31,27.02
1991-08-01,27.18
1991-08-02,27.06
1991-08-05,27.1
1991-08-06,26.72
1991-08-07,27.1
1991-08-08,26.85
1991-08-09,26.72
1991-08-12,26.76
1991-08-13,26.64
1991-08-14,27.02
1991-08-19,26.22
1991-08-20,26.22
1991-08-21,26.1
1991-08-22,25.93
1991-08-23,25.85
1991-08-26,26.26
1991-08-27,26.1
1991-08-28,26.1
1991-08-29,26.02
1991-08-30,27.06
1991-09-02,26.68
1991-09-03,26.85
1991-09-04,28.3
1991-09-05,27.94
1991-09-06,27.6
1991-09-09,27.14
1991-09-10,26.68
1991-09-11,27.3
1991-09-12,27.94
1991-09-13,28.14
1991-09-16,28.48
1991-09-17,28.22
1991-09-18,28.02
1991-09-19,28.14
1991-09-20,28.3
1991-09-23,27.6
1991-09-24,27.89
1991-09-25,27.72
1991-09-26,27.39
1991-09-27,27.52
1991-09-30,28.26
1991-10-01,28.56
1991-10-02,29.56
1991-10-03,29.22
1991-10-04,29.18
1991-10-07,29.18
1991-10-08,29.22
1991-10-09,28.9
1991-10-10,28.76
1991-10-11,28.56
1991-10-14,28.18
1991-10-15,28.44
1991-10-16,28.76
1991-10-17,28.76
1991-10-18,28.76
1991-10-21,28.72
1991-10-22,28.52
1991-10-23,28.02
1991-10-24,28.06
1991-10-25,28.35
1991-10-28,27.98
1991-10-29,28.14
