Date,Price
2000-01-03,29.67
2000-01-04,30.17
2000-01-05,30.14
2000-01-06,31.04
2000-01-07,30.85
2000-01-10,31.19
2000-01-11,31.33
2000-01-12,31.57
2000-01-13,31.92
2000-01-14,32.68
2000-01-17,32.75
2000-01-18,32.99
2000-01-19,34.13
2000-01-20,33.94
2000-01-21,33.42
2000-01-24,32.47
2000-01-25,32.33
2000-01-26,32.28
2000-01-27,31.68
2000-01-28,32.28
2000-01-31,31.87
2000-02-01,33.2
2000-02-02,33.18
2000-02-03,33.06
2000-02-04,33.23
2000-02-07,33.42
2000-02-08,33.23
2000-02-09,33.23
2000-02-10,32.18
2000-02-11,32.28
2000-02-14,32.04
2000-02-15,31.73
2000-02-16,30.97
2000-02-17,30.62
2000-02-18,31.4
2000-02-21,30.85
2000-02-22,31.14
2000-02-23,31.64
2000-02-24,31.57
2000-02-25,30.47
2000-02-28,31.21
2000-02-29,31.12
2000-03-01,31.66
2000-03-02,32.35
2000-03-03,32.52
2000-03-06,32.59
2000-03-07,32.61
2000-03-08,32.49
2000-03-09,32.54
2000-03-10,30.62
2000-03-13,30.62
2000-03-14,30.38
2000-03-15,30.38
2000-03-16,31.57
2000-03-17,30.85
2000-03-20,30.88
2000-03-21,31.68
2000-03-22,31.33
2000-03-23,31.23
2000-03-24,31.09
2000-03-27,31.09
2000-03-28,31.57
2000-03-29,31.5
2000-03-30,31.19
2000-03-31,32.52
2000-04-03,30.64
2000-04-04,31.66
2000-04-05,31.33
2000-04-06,31.8
2000-04-07,31.66
2000-04-10,31.57
2000-04-11,32.04
2000-04-12,32.63
2000-04-13,31.68
2000-04-14,32.25
2000-04-17,32.75
2000-04-18,32.75
2000-04-19,32.49
2000-04-20,32.63
2000-04-21,32.63
2000-04-24,32.63
2000-04-25,32.75
2000-04-26,32.75
2000-04-27,32.75
2000-04-28,32.99
2000-05-01,32.99
2000-05-02,32.87
2000-05-03,33.01
2000-05-04,33.23
2000-05-05,32.87
2000-05-08,33.44
2000-05-09,33.44
2000-05-10,33.49
2000-05-11,35.03
2000-05-12,33.84
2000-05-15,33.47
2000-05-16,34.13
2000-05-17,33.7
2000-05-18,34.41
2000-05-19,33.99
2000-05-22,33.54
2000-05-23,34.18
2000-05-24,33.82
2000-05-25,33.47
2000-05-26,33.13
2000-05-29,33.7
2000-05-30,33.2
2000-05-31,32.94
2000-06-01,33.23
2000-06-02,32.87
2000-06-05,32.68
2000-06-06,32.9
2000-06-07,32.99
2000-06-08,32.99
2000-06-09,32.99
2000-06-12,32.99
2000-06-13,32.14
2000-06-14,31.59
2000-06-15,31.61
2000-06-16,32.99
2000-06-19,32.99
2000-06-20,32.52
2000-06-21,32.52
2000-06-22,32.04
2000-06-23,32.61
2000-06-26,33.2
2000-06-27,33.23
2000-06-28,33.16
2000-06-29,33.16
2000-06-30,34.41
2000-07-03,34.41
2000-07-04,34.03
2000-07-05,33.94
2000-07-06,34.03
2000-07-07,34.03
2000-07-10,34.27
2000-07-11,34.41
2000-07-12,34.82
2000-07-13,35.13
2000-07-14,35.13
2000-07-17,35.17
2000-07-18,35.25
2000-07-19,35.01
2000-07-20,35.36
2000-07-21,35.6
2000-07-24,35.6
2000-07-25,35.6
2000-07-26,35.6
2000-07-27,35.6
2000-07-28,37.19
2000-07-31,37.26
2000-08-01,37.5
2000-08-02,37.26
2000-08-03,36.95
2000-08-04,36.79
2000-08-07,36.62
2000-08-08,36.15
2000-08-09,36.15
2000-08-10,37.5
2000-08-11,37.0
2000-08-14,37.38
2000-08-15,37.86
2000-08-16,37.5
2000-08-17,37.52
2000-08-18,38.21
2000-08-21,37.62
2000-08-22,37.5
2000-08-23,38.92
2000-08-24,39.56
2000-08-25,39.87
2000-08-28,39.92
2000-08-29,40.13
2000-08-30,40.82
2000-08-31,40.59
2000-09-01,40.56
2000-09-04,40.47
2000-09-05,41.23
2000-09-06,41.34
2000-09-07,41.89
2000-09-08,41.65
2000-09-11,42.25
2000-09-12,39.61
2000-09-13,39.3
2000-09-14,39.52
2000-09-15,38.92
2000-09-18,39.4
2000-09-19,39.42
2000-09-20,40.04
2000-09-21,39.64
2000-09-22,39.59
2000-09-25,39.52
2000-09-26,39.52
2000-09-27,39.56
2000-09-28,39.47
2000-09-29,39.59
2000-10-02,40.35
2000-10-03,40.35
2000-10-04,39.4
2000-10-05,39.68
2000-10-06,39.45
2000-10-09,39.11
2000-10-10,40.16
2000-10-11,38.69
2000-10-12,38.69
2000-10-13,38.14
2000-10-16,37.5
2000-10-17,37.67
2000-10-18,36.55
2000-10-19,37.12
2000-10-20,36.55
2000-10-23,37.12
2000-10-24,36.95
2000-10-25,37.38
2000-10-26,37.43
2000-10-27,37.45
2000-10-30,36.91
2000-10-31,36.91
2000-11-01,37.33
2000-11-02,37.26
2000-11-03,37.12
2000-11-06,36.57
2000-11-07,36.6
2000-11-08,37.26
2000-11-09,37.03
2000-11-10,38.69
2000-11-13,36.91
2000-11-14,36.95
2000-11-15,38.21
2000-11-16,37.97
2000-11-17,37.62
2000-11-20,37.74
2000-11-21,37.26
2000-11-22,37.69
2000-11-23,40.11
2000-11-24,40.3
2000-11-27,40.28
2000-11-28,39.87
2000-11-29,39.99
2000-11-30,40.11
2000-12-01,39.4
2000-12-04,39.16
2000-12-05,38.73
2000-12-06,39.16
2000-12-07,38.92
2000-12-08,39.04
2000-12-11,40.32
2000-12-12,39.64
2000-12-13,39.16
2000-12-14,39.26
2000-12-15,39.64
2000-12-18,39.16
2000-12-19,38.71
2000-12-20,39.66
2000-12-21,40.11
2000-12-22,40.3
2000-12-27,40.47
2000-12-28,40.3
2000-12-29,40.28
2001-01-01,40.28
2001-01-02,40.11
2001-01-03,40.35
2001-01-04,40.11
2001-01-05,40.37
2001-01-08,40.56
2001-01-09,40.85
2001-01-10,41.04
2001-01-11,41.46
2001-01-12,41.37
2001-01-15,41.42
2001-01-16,42.2
2001-01-17,41.96
2001-01-18,41.32
2001-01-19,41.94
2001-01-22,41.32
2001-01-23,41.61
2001-01-25,41.68
2001-01-29,42.53
2001-01-30,42.25
2001-01-31,42.48
2001-02-01,42.6
2001-02-02,42.39
2001-02-05,42.51
2001-02-06,42.93
2001-02-07,42.65
2001-02-08,42.72
2001-02-09,42.91
2001-02-12,42.96
2001-02-13,42.96
2001-02-14,44.15
2001-02-15,44.5
2001-02-16,45.33
2001-02-19,45.33
2001-02-20,45.5
2001-02-21,45.66
2001-02-22,46.02
2001-02-23,45.33
2001-02-26,45.55
2001-02-27,45.57
2001-02-28,45.09
2001-03-01,44.26
2001-03-02,42.96
2001-03-05,43.5
2001-03-06,43.08
2001-03-07,43.08
2001-03-08,43.88
2001-03-09,43.67
2001-03-12,43.43
2001-03-13,42.08
2001-03-15,42.96
2001-03-16,41.34
2001-03-19,41.53
2001-03-20,41.77
2001-03-21,42.56
2001-03-22,40.96
2001-03-23,40.99
2001-03-26,41.46
2001-03-27,43.05
2001-03-28,42.03
2001-03-29,42.06
2001-03-30,42.51
2001-04-02,44.03
2001-04-03,43.31
2001-04-04,41.3
2001-04-05,41.3
2001-04-06,41.89
2001-04-09,42.25
2001-04-10,41.89
2001-04-11,41.34
2001-04-12,41.68
2001-04-13,41.68
2001-04-16,41.68
2001-04-17,41.96
2001-04-18,41.65
2001-04-19,42.25
2001-04-20,41.34
2001-04-23,42.13
2001-04-24,41.87
2001-04-25,41.84
2001-04-26,41.53
2001-04-27,42.01
2001-04-30,42.48
2001-05-01,42.48
2001-05-02,42.48
2001-05-03,42.63
2001-05-04,42.6
2001-05-07,42.6
2001-05-08,42.72
2001-05-09,44.6
2001-05-10,43.91
2001-05-11,43.91
2001-05-14,43.88
2001-05-15,43.91
2001-05-16,44.48
2001-05-17,44.15
2001-05-18,44.64
2001-05-21,45.85
2001-05-22,45.09
2001-05-23,44.88
2001-05-24,45.09
2001-05-25,44.86
2001-05-28,44.88
2001-05-29,44.5
2001-05-30,44.98
2001-05-31,44.74
2001-06-01,44.62
2001-06-04,44.62
2001-06-05,44.69
2001-06-06,44.76
2001-06-07,44.74
2001-06-08,44.74
2001-06-11,44.62
2001-06-12,43.79
2001-06-13,43.54
2001-06-14,43.79
2001-06-15,43.43
2001-06-18,43.79
2001-06-19,44.0
2001-06-20,43.97
2001-06-21,45.32
2001-06-22,44.71
2001-06-25,45.36
2001-06-26,45.18
2001-06-27,45.39
2001-06-28,45.21
2001-06-29,45.64
2001-07-02,46.21
2001-07-03,46.28
2001-07-04,46.46
2001-07-05,46.35
2001-07-06,45.93
2001-07-09,45.53
2001-07-10,45.75
2001-07-11,46.0
2001-07-12,46.46
2001-07-13,40.93
2001-07-16,46.46
2001-07-17,46.57
2001-07-18,45.57
2001-07-19,45.53
2001-07-20,45.43
2001-07-23,45.57
2001-07-24,45.85
2001-07-25,44.82
2001-07-26,44.22
2001-07-27,44.75
2001-07-30,44.5
2001-07-31,44.36
2001-08-01,44.15
2001-08-02,44.29
2001-08-03,44.0
2001-08-06,44.04
2001-08-07,44.07
2001-08-08,44.15
2001-08-09,43.72
2001-08-10,43.72
2001-08-13,43.4
2001-08-14,42.79
2001-08-15,42.83
2001-08-16,42.69
2001-08-17,42.65
2001-08-20,42.58
2001-08-21,41.26
2001-08-22,43.08
2001-08-23,43.08
2001-08-24,43.43
2001-08-27,43.43
2001-08-28,44.0
2001-08-29,43.18
2001-08-30,42.65
2001-08-31,42.65
2001-09-03,42.08
2001-09-04,43.08
2001-09-05,41.3
2001-09-06,42.01
2001-09-07,41.58
2001-09-10,41.05
2001-09-11,39.45
2001-09-12,38.81
2001-09-13,38.95
2001-09-14,39.09
2001-09-17,37.74
2001-09-18,37.03
2001-09-19,38.45
2001-09-20,37.38
2001-09-21,36.67
2001-09-24,36.74
