Date,Price
1990-01-02,7.54
1990-01-03,7.66
1990-01-04,7.78
1990-01-05,7.88
1990-01-08,7.8
1990-01-09,7.7
1990-01-10,7.74
1990-01-11,7.86
1990-01-12,7.72
1990-01-15,7.64
1990-01-16,7.78
1990-01-17,7.84
1990-01-18,7.72
1990-01-19,7.84
1990-01-22,7.76
1990-01-23,7.84
1990-01-24,7.84
1990-01-25,7.9
1990-01-26,7.49
1990-01-29,6.89
1990-01-30,6.52
1990-01-31,6.79
1990-02-01,6.85
1990-02-02,7.03
1990-02-05,7.01
1990-02-06,6.93
1990-02-07,6.93
1990-02-08,7.11
1990-02-09,7.21
1990-02-12,7.09
1990-02-13,6.93
1990-02-14,6.81
1990-02-15,6.85
1990-02-16,6.95
1990-02-20,6.93
1990-02-21,6.95
1990-02-22,6.97
1990-02-23,6.85
1990-02-26,6.93
1990-02-27,7.09
1990-02-28,7.29
1990-03-01,7.27
1990-03-02,7.25
1990-03-05,7.27
1990-03-06,7.27
1990-03-07,7.31
1990-03-08,7.31
1990-03-09,7.27
1990-03-12,7.27
1990-03-13,7.23
1990-03-14,7.29
1990-03-15,7.27
1990-03-16,7.25
1990-03-19,7.21
1990-03-20,7.19
1990-03-21,7.01
1990-03-22,6.95
1990-03-23,7.01
1990-03-26,7.05
1990-03-27,7.05
1990-03-28,7.05
1990-03-29,7.01
1990-03-30,7.15
1990-04-02,7.09
1990-04-03,7.11
1990-04-04,6.99
1990-04-05,6.99
1990-04-06,7.01
1990-04-09,6.91
1990-04-10,6.79
1990-04-11,6.85
1990-04-12,6.97
1990-04-16,7.19
1990-04-17,7.05
1990-04-18,7.03
1990-04-19,6.89
1990-04-20,6.91
1990-04-23,6.85
1990-04-24,6.84
1990-04-25,6.84
1990-04-26,6.84
1990-04-27,6.79
1990-04-30,6.9
1990-05-01,7.02
1990-05-02,7.2
1990-05-03,7.24
1990-05-04,7.34
1990-05-07,7.42
1990-05-08,7.44
1990-05-09,7.4
1990-05-10,7.62
1990-05-11,7.7
1990-05-14,7.92
1990-05-15,7.86
1990-05-16,7.86
1990-05-17,7.9
1990-05-18,7.88
1990-05-21,7.9
1990-05-22,7.9
1990-05-23,7.9
1990-05-24,7.88
1990-05-25,7.92
1990-05-29,7.96
1990-05-30,7.86
1990-05-31,7.76
1990-06-01,7.68
1990-06-04,7.78
1990-06-05,7.74
1990-06-06,7.74
1990-06-07,7.88
1990-06-08,7.8
1990-06-11,7.86
1990-06-12,7.92
1990-06-13,8.14
1990-06-14,8.22
1990-06-15,8.2
1990-06-18,8.12
1990-06-19,8.0
1990-06-20,7.96
1990-06-21,8.0
1990-06-22,8.1
1990-06-25,8.02
1990-06-26,8.12
1990-06-27,8.24
1990-06-28,8.38
1990-06-29,8.5
1990-07-02,8.72
1990-07-03,8.87
1990-07-05,8.91
1990-07-06,8.87
1990-07-09,8.75
1990-07-10,8.72
1990-07-11,8.58
1990-07-12,8.62
1990-07-13,8.85
1990-07-16,8.99
1990-07-17,9.05
1990-07-18,8.81
1990-07-19,8.56
1990-07-20,8.48
1990-07-23,8.28
1990-07-24,8.33
1990-07-25,8.47
1990-07-26,8.55
1990-07-27,8.47
1990-07-30,8.63
1990-07-31,8.81
1990-08-01,8.73
1990-08-02,8.59
1990-08-03,8.25
1990-08-06,8.01
1990-08-07,7.99
1990-08-08,8.05
1990-08-09,7.99
1990-08-10,8.01
1990-08-13,8.29
1990-08-14,8.33
1990-08-15,8.47
1990-08-16,8.29
1990-08-17,8.23
1990-08-20,8.23
1990-08-21,8.03
1990-08-22,7.95
1990-08-23,7.63
1990-08-24,7.63
1990-08-27,7.93
1990-08-28,8.01
1990-08-29,8.21
1990-08-30,8.13
1990-08-31,8.11
1990-09-04,8.03
1990-09-05,8.11
1990-09-06,8.07
1990-09-07,8.15
1990-09-10,8.17
1990-09-11,8.23
1990-09-12,8.19
1990-09-13,8.07
1990-09-14,7.91
1990-09-17,7.77
1990-09-18,7.43
1990-09-19,7.45
