Date,Price
1990-01-01,79.08
1990-01-02,80.15
1990-01-03,82.06
1990-01-04,82.47
1990-01-05,81.79
1990-01-08,80.97
1990-01-09,80.97
1990-01-10,79.87
1990-01-11,80.97
1990-01-12,79.87
1990-01-15,79.63
1990-01-16,79.22
1990-01-17,80.42
1990-01-18,80.69
1990-01-19,80.97
1990-01-22,80.69
1990-01-23,81.65
1990-01-24,81.79
1990-01-25,80.42
1990-01-26,80.69
1990-01-29,80.83
1990-01-30,81.1
1990-01-31,82.06
1990-02-01,82.88
1990-02-02,82.88
1990-02-05,82.88
1990-02-06,82.2
1990-02-07,81.79
1990-02-08,81.51
1990-02-09,80.28
1990-02-12,79.87
1990-02-13,80.56
1990-02-14,81.24
1990-02-15,83.43
1990-02-16,84.52
1990-02-19,84.52
1990-02-20,84.24
1990-02-21,84.79
1990-02-22,84.52
1990-02-23,83.7
1990-02-26,83.97
1990-02-27,83.43
1990-02-28,82.06
1990-03-01,81.38
1990-03-02,82.47
1990-03-05,80.83
1990-03-06,79.63
1990-03-07,79.63
1990-03-08,79.87
1990-03-09,78.81
1990-03-12,78.81
1990-03-13,79.87
1990-03-14,80.97
1990-03-15,81.51
1990-03-16,81.65
1990-03-19,80.15
1990-03-20,80.15
1990-03-21,80.15
1990-03-22,80.69
1990-03-23,82.06
1990-03-26,81.79
1990-03-27,81.51
1990-03-28,82.33
1990-03-29,81.79
1990-03-30,82.06
1990-04-02,81.1
1990-04-03,80.97
1990-04-04,80.42
1990-04-05,79.49
1990-04-06,79.08
1990-04-09,78.81
1990-04-10,78.26
1990-04-11,76.9
1990-04-12,76.35
1990-04-13,76.35
1990-04-16,76.35
1990-04-17,76.62
1990-04-18,76.62
1990-04-19,76.62
1990-04-20,77.99
1990-04-23,77.03
1990-04-24,76.9
1990-04-25,77.17
1990-04-26,76.62
1990-04-27,76.08
1990-04-30,76.9
1990-05-01,76.21
1990-05-02,77.17
1990-05-03,77.03
1990-05-04,78.13
1990-05-07,78.13
1990-05-08,79.49
1990-05-09,79.08
1990-05-10,77.99
1990-05-11,78.13
1990-05-14,79.36
1990-05-15,79.22
1990-05-16,79.49
1990-05-17,80.97
1990-05-18,80.56
1990-05-21,80.97
1990-05-22,82.06
1990-05-23,81.79
1990-05-24,81.38
1990-05-25,80.69
1990-05-28,80.69
1990-05-29,80.83
1990-05-30,81.65
1990-05-31,80.97
1990-06-01,81.65
1990-06-04,81.24
1990-06-05,80.69
1990-06-06,81.24
1990-06-07,81.24
1990-06-08,80.69
1990-06-11,80.42
1990-06-12,81.38
1990-06-13,82.74
1990-06-14,82.33
1990-06-15,81.65
1990-06-18,80.97
1990-06-19,79.63
1990-06-20,79.08
1990-06-21,78.54
1990-06-22,78.81
1990-06-25,79.87
1990-06-26,80.69
1990-06-27,80.42
1990-06-28,80.97
1990-06-29,80.97
1990-07-02,80.97
1990-07-03,80.97
1990-07-04,81.65
1990-07-05,80.97
1990-07-06,80.97
1990-07-09,80.97
1990-07-10,80.97
1990-07-11,82.06
1990-07-12,82.2
1990-07-13,82.06
1990-07-16,78.81
1990-07-17,80.69
1990-07-18,79.87
1990-07-19,79.36
1990-07-20,80.42
1990-07-23,80.42
1990-07-24,81.51
1990-07-25,82.61
1990-07-26,83.43
1990-07-27,83.43
1990-07-30,83.7
1990-07-31,83.7
1990-08-01,83.7
1990-08-02,82.61
1990-08-03,82.06
1990-08-06,80.15
1990-08-07,82.33
1990-08-08,82.88
1990-08-09,83.7
1990-08-10,85.06
1990-08-13,84.52
1990-08-14,84.52
1990-08-15,83.97
1990-08-16,84.24
1990-08-17,83.43
1990-08-20,83.15
1990-08-21,81.51
1990-08-22,81.51
1990-08-23,79.63
1990-08-24,79.36
1990-08-27,79.36
1990-08-28,79.36
1990-08-29,79.87
1990-08-30,80.69
1990-08-31,80.15
1990-09-03,79.63
1990-09-04,78.81
1990-09-05,78.81
1990-09-06,77.44
1990-09-07,78.54
1990-09-10,80.97
1990-09-11,80.97
1990-09-12,80.15
1990-09-13,79.08
1990-09-14,79.87
1990-09-17,80.15
1990-09-18,80.42
1990-09-19,81.24
1990-09-20,80.69
1990-09-21,81.24
1990-09-24,80.15
1990-09-25,80.97
1990-09-26,81.51
1990-09-27,81.79
1990-09-28,80.97
1990-10-01,81.51
1990-10-02,82.33
1990-10-03,81.24
1990-10-04,80.97
1990-10-05,80.83
1990-10-08,82.88
1990-10-09,81.24
1990-10-10,81.51
1990-10-11,82.33
1990-10-12,82.33
1990-10-15,81.51
1990-10-16,80.97
1990-10-17,81.51
1990-10-18,81.79
1990-10-19,80.69
1990-10-22,82.06
1990-10-23,83.43
1990-10-24,83.43
1990-10-25,82.88
1990-10-26,82.61
