Date,Price
2005-12-05,39.24
2005-12-06,40.7
2005-12-07,41.17
2005-12-08,40.25
2005-12-09,40.02
2005-12-12,39.9
2005-12-13,40.25
2005-12-14,40.25
2005-12-15,39.34
2005-12-16,39.6
2005-12-19,39.04
2005-12-20,38.51
2005-12-21,38.35
2005-12-22,38.1
2005-12-23,38.0
2005-12-27,36.99
2005-12-28,36.91
2005-12-29,36.63
2005-12-30,37.73
2006-01-03,38.13
2006-01-04,38.49
2006-01-05,38.74
2006-01-06,39.1
2006-01-09,38.97
2006-01-10,38.88
2006-01-11,38.33
2006-01-12,38.19
2006-01-13,38.67
2006-01-17,38.23
2006-01-18,38.27
2006-01-19,39.21
2006-01-20,38.92
2006-01-23,39.56
2006-01-24,39.85
2006-01-25,39.68
2006-01-26,39.52
2006-01-27,39.69
2006-01-30,39.01
2006-01-31,38.03
2006-02-01,38.59
2006-02-02,38.3
2006-02-03,38.5
2006-02-06,38.4
2006-02-07,38.37
2006-02-08,38.97
2006-02-09,39.29
2006-02-10,39.38
2006-02-13,39.21
2006-02-14,39.6
2006-02-15,39.79
2006-02-16,39.98
2006-02-17,39.35
2006-02-21,38.89
2006-02-22,38.42
2006-02-23,37.56
2006-02-24,36.82
2006-02-27,36.82
2006-02-28,36.64
2006-03-01,37.53
2006-03-02,36.66
2006-03-03,36.48
2006-03-06,35.42
2006-03-07,34.9
2006-03-08,34.89
2006-03-09,35.1
2006-03-10,35.62
2006-03-13,35.57
2006-03-14,35.76
2006-03-15,35.63
2006-03-16,35.13
2006-03-17,35.76
2006-03-20,35.76
2006-03-21,34.93
2006-03-22,35.02
2006-03-23,35.44
2006-03-24,35.54
2006-03-27,35.5
2006-03-28,35.48
2006-03-29,36.03
2006-03-30,35.71
2006-03-31,35.57
2006-04-03,35.26
2006-04-04,35.47
2006-04-05,35.66
2006-04-06,35.93
2006-04-07,35.5
2006-04-10,35.21
2006-04-11,35.15
2006-04-12,35.18
2006-04-13,35.46
2006-04-17,35.27
2006-04-18,35.25
2006-04-19,35.39
2006-04-20,35.48
2006-04-21,35.57
2006-04-24,35.77
2006-04-25,36.35
2006-04-26,36.82
2006-04-27,36.9
2006-04-28,36.52
2006-05-01,36.01
2006-05-02,35.63
2006-05-03,35.77
2006-05-04,36.41
2006-05-05,36.77
2006-05-08,36.45
2006-05-09,36.46
2006-05-10,36.26
2006-05-11,35.66
2006-05-12,35.13
2006-05-15,34.98
2006-05-16,35.22
2006-05-17,34.86
2006-05-18,34.17
2006-05-19,34.4
2006-05-22,34.25
2006-05-23,33.74
2006-05-24,33.72
2006-05-25,34.29
2006-05-26,34.58
2006-05-30,34.28
2006-05-31,34.61
2006-06-01,34.89
2006-06-02,34.79
2006-06-05,33.97
2006-06-06,33.19
2006-06-07,33.27
2006-06-08,34.03
2006-06-09,34.41
2006-06-12,34.31
2006-06-13,33.76
2006-06-14,33.34
2006-06-15,33.53
2006-06-16,33.1
2006-06-19,33.24
2006-06-20,33.2
2006-06-21,33.97
2006-06-22,33.24
2006-06-23,33.2
2006-06-26,33.42
2006-06-27,32.6
2006-06-28,32.82
2006-06-29,32.9
2006-06-30,32.86
2006-07-03,33.15
2006-07-05,32.59
2006-07-06,31.41
2006-07-07,31.91
2006-07-10,32.49
2006-07-11,32.46
2006-07-12,31.75
2006-07-13,30.99
2006-07-14,30.53
2006-07-17,30.35
2006-07-18,30.67
2006-07-19,31.4
2006-07-20,30.95
2006-07-21,30.69
2006-07-24,30.61
2006-07-25,30.49
2006-07-26,30.74
2006-07-27,31.13
2006-07-28,32.34
2006-07-31,31.95
2006-08-01,31.58
2006-08-02,31.24
2006-08-03,30.79
2006-08-04,31.38
2006-08-07,31.43
2006-08-08,31.54
2006-08-09,30.97
2006-08-10,33.97
2006-08-11,33.81
2006-08-14,33.4
2006-08-15,33.41
2006-08-16,33.5
2006-08-17,33.82
2006-08-18,33.85
2006-08-21,33.45
2006-08-22,33.41
2006-08-23,33.59
2006-08-24,33.48
2006-08-25,33.32
2006-08-28,33.59
2006-08-29,33.7
2006-08-30,33.28
2006-08-31,33.28
2006-09-01,33.9
2006-09-05,31.99
2006-09-06,31.3
2006-09-07,31.44
2006-09-08,31.6
2006-09-11,32.2
2006-09-12,32.64
2006-09-13,33.21
2006-09-14,32.82
2006-09-15,33.53
2006-09-18,33.45
2006-09-19,33.92
2006-09-20,34.08
2006-09-21,33.92
2006-09-22,33.95
2006-09-25,34.46
2006-09-26,34.56
2006-09-27,34.43
2006-09-28,33.92
2006-09-29,34.09
2006-10-02,33.98
2006-10-03,34.87
2006-10-04,34.86
2006-10-05,35.02
2006-10-06,35.07
2006-10-09,35.3
2006-10-10,35.11
2006-10-11,34.91
2006-10-12,35.79
2006-10-13,35.63
2006-10-16,35.47
2006-10-17,35.57
2006-10-18,35.67
2006-10-19,35.61
2006-10-20,35.01
2006-10-23,35.37
2006-10-24,35.58
2006-10-25,35.38
2006-10-26,36.17
2006-10-27,36.61
2006-10-30,36.22
2006-10-31,35.68
2006-11-01,35.78
2006-11-02,35.17
2006-11-03,35.63
2006-11-06,36.19
2006-11-07,36.58
2006-11-08,36.37
2006-11-09,35.18
2006-11-10,34.99
2006-11-13,35.35
2006-11-14,35.49
2006-11-15,35.27
2006-11-16,35.95
2006-11-17,36.04
2006-11-20,35.8
2006-11-21,35.68
2006-11-22,35.58
2006-11-24,35.79
2006-11-27,34.57
2006-11-28,34.59
2006-11-29,34.6
2006-11-30,34.39
2006-12-01,34.94
2006-12-04,35.37
2006-12-05,35.14
2006-12-06,35.07
2006-12-07,34.75
2006-12-08,34.56
2006-12-11,35.02
2006-12-12,34.69
2006-12-13,34.5
2006-12-14,34.65
2006-12-15,34.82
2006-12-18,35.19
2006-12-19,36.07
2006-12-20,35.98
2006-12-21,36.16
2006-12-22,36.36
2006-12-26,37.0
2006-12-27,37.1
2006-12-28,37.26
2006-12-29,37.62
2007-01-03,38.12
2007-01-04,37.81
2007-01-05,38.02
2007-01-08,38.7
2007-01-09,38.6
2007-01-10,38.98
2007-01-11,38.87
2007-01-12,38.33
2007-01-16,38.4
2007-01-17,38.23
2007-01-18,38.44
2007-01-19,38.28
2007-01-22,37.96
2007-01-23,37.3
2007-01-24,36.94
2007-01-25,36.63
2007-01-26,36.37
2007-01-29,37.03
2007-01-30,37.05
2007-01-31,37.29
2007-02-01,37.0
2007-02-02,37.68
2007-02-05,37.59
2007-02-06,37.68
2007-02-07,37.5
2007-02-08,37.33
2007-02-09,36.97
2007-02-12,36.29
2007-02-13,36.64
2007-02-14,36.78
2007-02-15,36.83
2007-02-16,37.11
2007-02-20,37.03
2007-02-21,37.25
2007-02-22,37.15
2007-02-23,36.97
2007-02-26,37.02
2007-02-27,35.98
2007-02-28,35.79
2007-03-01,35.36
2007-03-02,35.85
2007-03-05,35.77
2007-03-06,35.99
2007-03-07,35.32
2007-03-08,35.54
2007-03-09,35.85
2007-03-12,36.28
2007-03-13,36.2
2007-03-14,36.56
2007-03-15,36.91
2007-03-16,36.77
2007-03-19,37.59
2007-03-20,37.58
2007-03-21,38.51
2007-03-22,38.33
2007-03-23,37.95
2007-03-26,37.78
2007-03-27,37.5
2007-03-28,37.41
2007-03-29,37.28
2007-03-30,37.69
2007-04-02,37.59
2007-04-03,38.03
2007-04-04,37.73
2007-04-05,37.31
2007-04-09,37.59
2007-04-10,37.23
2007-04-11,36.71
2007-04-12,36.77
2007-04-13,36.79
2007-04-16,37.66
2007-04-17,38.09
2007-04-18,38.11
2007-04-19,38.14
2007-04-20,38.37
2007-04-23,38.77
2007-04-24,39.18
2007-04-25,39.2
2007-04-26,38.97
2007-04-27,38.35
2007-04-30,37.82
2007-05-01,37.73
2007-05-02,38.24
