Date,Price
2000-07-20,20.31
2000-07-21,20.18
2000-07-24,20.18
2000-07-25,20.39
2000-07-26,20.34
2000-07-27,20.34
2000-07-28,20.24
2000-07-31,20.15
2000-08-01,20.03
2000-08-02,20.98
2000-08-03,21.59
2000-08-04,21.52
2000-08-07,21.7
2000-08-08,22.24
2000-08-09,22.24
2000-08-10,22.72
2000-08-11,23.29
2000-08-14,22.9
2000-08-15,23.38
2000-08-16,23.38
2000-08-17,22.78
2000-08-18,22.78
2000-08-21,23.29
2000-08-22,23.77
2000-08-23,24.01
2000-08-24,24.28
2000-08-25,24.31
2000-08-28,23.68
2000-08-29,23.8
2000-08-30,23.2
2000-08-31,23.17
2000-09-01,24.1
2000-09-04,24.46
2000-09-05,24.1
2000-09-06,25.06
2000-09-07,25.42
2000-09-08,25.6
2000-09-11,25.18
2000-09-12,25.12
2000-09-13,24.91
2000-09-14,25.48
2000-09-15,24.58
2000-09-18,24.01
2000-09-19,25.18
2000-09-20,25.48
2000-09-21,24.58
2000-09-22,26.38
2000-09-25,26.17
2000-09-26,26.37
2000-09-27,26.08
2000-09-28,26.25
2000-09-29,25.18
2000-10-02,24.94
2000-10-03,24.49
2000-10-04,24.46
2000-10-05,24.49
2000-10-06,24.67
2000-10-09,24.13
2000-10-10,24.06
2000-10-11,24.88
2000-10-12,26.2
2000-10-13,25.36
2000-10-16,25.3
2000-10-17,25.72
2000-10-18,25.18
2000-10-19,25.78
2000-10-20,25.85
2000-10-23,25.75
2000-10-24,25.34
2000-10-25,24.88
2000-10-26,26.08
2000-10-27,26.37
2000-10-30,25.6
2000-10-31,25.6
2000-11-01,26.38
2000-11-02,26.23
2000-11-03,26.98
2000-11-06,26.98
2000-11-07,27.04
2000-11-08,26.98
2000-11-09,27.01
2000-11-10,26.38
2000-11-13,25.18
2000-11-14,26.38
2000-11-15,26.53
2000-11-16,27.88
2000-11-17,27.83
2000-11-20,28.54
2000-11-21,28.45
2000-11-22,29.38
2000-11-23,28.54
2000-11-24,27.28
2000-11-27,27.73
2000-11-28,28.25
2000-11-29,29.02
2000-11-30,28.48
2000-12-01,28.09
2000-12-04,27.88
2000-12-05,29.02
2000-12-06,27.52
2000-12-07,27.29
2000-12-08,26.56
2000-12-11,26.14
2000-12-12,26.38
2000-12-13,28.11
2000-12-14,26.86
2000-12-15,26.38
2000-12-18,28.12
2000-12-19,27.34
2000-12-20,28.01
2000-12-21,27.88
2000-12-22,28.78
2000-12-27,27.28
2000-12-28,27.64
2000-12-29,27.88
2001-01-02,27.88
2001-01-03,27.88
2001-01-04,25.24
2001-01-05,25.63
2001-01-08,26.32
2001-01-09,26.08
2001-01-10,26.2
2001-01-11,25.69
2001-01-12,24.61
2001-01-15,25.12
2001-01-16,24.31
2001-01-17,24.64
2001-01-18,24.1
2001-01-19,23.44
2001-01-22,24.58
2001-01-23,25.39
2001-01-25,25.48
2001-01-29,24.91
2001-01-30,25.48
2001-01-31,25.57
2001-02-01,25.78
2001-02-02,25.51
2001-02-05,26.08
2001-02-06,26.29
2001-02-07,26.38
2001-02-08,27.28
2001-02-09,26.14
2001-02-12,26.75
2001-02-13,27.01
2001-02-14,27.4
2001-02-15,27.52
2001-02-16,27.64
2001-02-19,27.62
2001-02-20,27.97
2001-02-21,27.82
2001-02-22,27.29
2001-02-23,27.5
2001-02-26,27.93
2001-02-27,27.28
2001-02-28,27.57
2001-03-01,27.7
2001-03-02,27.28
2001-03-05,27.43
2001-03-06,26.86
2001-03-07,27.04
2001-03-08,26.68
2001-03-09,27.67
2001-03-12,28.6
2001-03-13,29.29
2001-03-15,29.02
2001-03-16,29.68
2001-03-19,29.64
2001-03-20,29.38
2001-03-21,29.4
2001-03-22,28.42
2001-03-23,29.37
2001-03-26,29.29
2001-03-27,28.78
2001-03-28,29.49
2001-03-29,28.57
2001-03-30,29.77
2001-04-02,29.98
2001-04-03,30.49
2001-04-04,30.1
2001-04-05,29.94
2001-04-06,29.98
2001-04-09,29.62
2001-04-10,29.68
2001-04-11,29.17
2001-04-12,28.99
2001-04-17,28.81
2001-04-18,29.44
2001-04-19,28.66
2001-04-20,28.48
2001-04-23,28.24
2001-04-24,28.6
2001-04-25,28.31
2001-04-26,28.96
2001-04-27,29.19
2001-04-30,29.59
2001-05-02,28.97
2001-05-03,29.17
2001-05-04,29.58
2001-05-08,29.89
2001-05-09,29.83
2001-05-10,29.8
2001-05-14,29.83
2001-05-15,30.25
2001-05-16,30.31
2001-05-17,30.7
2001-05-18,30.58
2001-05-21,29.98
2001-05-22,29.98
2001-05-23,30.16
2001-05-24,30.37
2001-05-25,30.22
2001-05-28,30.28
2001-05-29,29.68
2001-05-30,29.44
2001-05-31,30.16
2001-06-01,29.59
2001-06-05,29.08
2001-06-06,29.2
2001-06-07,29.51
2001-06-08,29.44
2001-06-11,29.07
2001-06-12,29.11
2001-06-13,28.84
2001-06-14,29.38
2001-06-15,29.13
2001-06-18,29.48
2001-06-19,29.38
2001-06-20,29.42
2001-06-21,29.95
2001-06-22,29.55
2001-06-25,29.8
2001-06-26,29.38
2001-06-27,29.44
2001-06-28,29.86
2001-06-29,29.8
2001-07-02,30.13
2001-07-03,29.62
2001-07-04,29.95
2001-07-05,29.8
2001-07-06,29.92
2001-07-09,29.91
2001-07-10,29.82
2001-07-11,30.04
2001-07-12,30.16
2001-07-16,30.28
2001-07-17,30.19
2001-07-18,30.19
2001-07-19,30.1
2001-07-20,29.83
2001-07-23,29.57
2001-07-24,29.41
2001-07-25,29.38
2001-07-26,29.38
2001-07-27,29.08
2001-07-30,29.23
2001-07-31,29.08
2001-08-01,29.24
2001-08-02,29.38
2001-08-03,29.47
2001-08-06,29.92
2001-08-07,29.68
2001-08-08,29.59
2001-08-09,29.38
2001-08-10,28.17
2001-08-13,28.41
2001-08-14,28.73
2001-08-15,28.36
2001-08-16,28.66
2001-08-17,28.54
2001-08-20,27.9
2001-08-21,28.75
2001-08-22,28.48
2001-08-23,28.77
2001-08-24,28.73
2001-08-27,28.61
2001-08-28,28.48
2001-08-29,28.54
2001-08-30,28.04
2001-08-31,28.05
2001-09-03,27.88
2001-09-04,28.54
2001-09-05,28.55
2001-09-06,28.63
2001-09-07,28.54
2001-09-10,27.96
2001-09-11,26.45
2001-09-12,27.58
2001-09-13,27.58
2001-09-14,26.83
2001-09-17,26.97
2001-09-18,27.1
2001-09-19,26.98
2001-09-20,27.31
2001-09-21,25.78
2001-09-24,25.22
2001-09-25,24.22
2001-09-26,24.94
2001-09-27,25.18
2001-10-01,25.62
2001-10-02,26.44
2001-10-03,26.26
2001-10-04,25.82
2001-10-05,25.6
2001-10-08,25.6
2001-10-09,25.72
2001-10-10,25.21
2001-10-11,25.18
2001-10-12,25.15
2001-10-15,25.18
2001-10-17,26.08
2001-10-18,25.71
2001-10-19,25.33
2001-10-22,25.36
2001-10-23,25.21
2001-10-24,25.33
2001-10-25,24.97
2001-10-29,24.91
2001-10-30,25.3
2001-10-31,25.61
2001-11-01,25.47
2001-11-02,25.51
2001-11-05,25.24
2001-11-06,25.4
2001-11-07,25.37
2001-11-08,25.09
2001-11-09,24.45
2001-11-12,24.34
2001-11-13,25.19
2001-11-14,25.57
2001-11-15,25.26
2001-11-16,25.36
2001-11-19,25.25
2001-11-20,25.61
2001-11-21,25.73
2001-11-22,25.9
2001-11-23,25.8
2001-11-26,26.14
2001-11-27,26.02
2001-11-28,25.79
2001-11-29,25.69
2001-11-30,24.58
2001-12-03,24.13
2001-12-04,23.06
2001-12-05,22.95
2001-12-06,22.27
2001-12-07,22.48
2001-12-10,22.72
2001-12-11,22.63
2001-12-12,22.48
2001-12-13,22.3
2001-12-14,22.76
2001-12-17,22.42
2001-12-18,22.33
2001-12-19,22.0
2001-12-20,22.09
2001-12-21,22.06
2001-12-24,22.12
2001-12-25,22.12
2001-12-26,22.12
2001-12-27,22.48
2001-12-28,22.46
2001-12-31,22.46
2002-01-01,22.46
2002-01-02,22.11
2002-01-03,22.17
