Date,Price
1990-01-01,32.17
1990-01-02,32.74
1990-01-03,33.15
1990-01-04,32.66
1990-01-05,32.25
1990-01-08,32.17
1990-01-09,32.91
1990-01-10,32.01
1990-01-11,32.09
1990-01-12,30.95
1990-01-15,30.21
1990-01-16,29.23
1990-01-17,30.13
1990-01-18,29.23
1990-01-19,29.56
1990-01-22,30.13
1990-01-23,29.8
1990-01-24,29.39
1990-01-25,29.39
1990-01-26,29.31
1990-01-29,29.23
1990-01-30,28.91
1990-01-31,28.99
1990-02-01,29.48
1990-02-02,30.46
1990-02-05,29.97
1990-02-06,29.56
1990-02-07,29.31
1990-02-08,29.89
1990-02-09,30.7
1990-02-12,30.86
1990-02-13,31.11
1990-02-14,31.6
1990-02-15,31.76
1990-02-16,32.09
1990-02-19,31.44
1990-02-20,31.44
1990-02-21,31.03
1990-02-22,31.11
1990-02-23,30.62
1990-02-26,30.78
1990-02-27,30.95
1990-02-28,30.86
1990-03-01,30.7
1990-03-02,31.44
1990-03-05,31.44
1990-03-06,31.44
1990-03-07,31.27
1990-03-08,30.46
1990-03-09,30.29
1990-03-12,30.13
1990-03-13,30.38
1990-03-14,30.38
1990-03-15,30.29
1990-03-16,30.46
1990-03-19,29.97
1990-03-20,30.05
1990-03-21,29.64
1990-03-22,28.17
1990-03-23,29.07
1990-03-26,29.15
1990-03-27,29.15
1990-03-28,29.07
1990-03-29,28.42
1990-03-30,28.42
1990-04-02,28.17
1990-04-03,28.66
1990-04-04,28.42
1990-04-05,28.58
1990-04-06,28.25
1990-04-09,28.5
1990-04-10,28.33
1990-04-11,28.66
1990-04-12,28.58
1990-04-13,28.58
1990-04-16,28.58
1990-04-17,28.25
1990-04-18,28.42
1990-04-19,27.76
1990-04-20,27.19
1990-04-23,26.78
1990-04-24,26.95
1990-04-25,26.86
1990-04-26,26.13
1990-04-27,25.72
1990-04-30,25.23
1990-05-01,25.72
1990-05-02,26.7
1990-05-03,26.78
1990-05-04,27.11
1990-05-07,27.11
1990-05-08,27.84
1990-05-09,27.76
1990-05-10,27.44
1990-05-11,27.19
1990-05-14,27.84
1990-05-15,28.01
1990-05-16,29.15
1990-05-17,29.97
1990-05-18,30.05
1990-05-21,30.05
1990-05-22,30.7
1990-05-23,30.13
1990-05-24,30.21
1990-05-25,30.46
1990-05-28,30.46
1990-05-29,30.86
1990-05-30,31.93
1990-05-31,30.7
1990-06-01,30.95
1990-06-04,31.27
1990-06-05,31.52
1990-06-06,30.54
1990-06-07,30.29
1990-06-08,30.13
1990-06-11,29.8
1990-06-12,29.56
1990-06-13,30.21
1990-06-14,28.25
1990-06-15,28.25
1990-06-18,28.33
1990-06-19,28.5
1990-06-20,28.91
1990-06-21,28.74
1990-06-22,28.74
1990-06-25,28.25
1990-06-26,28.01
1990-06-27,27.84
1990-06-28,28.09
1990-06-29,29.39
1990-07-02,29.89
1990-07-03,30.46
1990-07-04,30.05
1990-07-05,29.64
1990-07-06,29.72
1990-07-09,29.64
1990-07-10,29.15
1990-07-11,29.23
1990-07-12,30.05
1990-07-13,30.05
1990-07-16,30.29
1990-07-17,29.97
1990-07-18,29.48
1990-07-19,28.99
1990-07-20,28.99
1990-07-23,27.68
1990-07-24,27.52
1990-07-25,27.52
1990-07-26,27.6
1990-07-27,27.44
1990-07-30,27.11
1990-07-31,27.44
1990-08-01,27.76
1990-08-02,26.7
1990-08-03,25.31
1990-08-06,24.09
1990-08-07,24.41
1990-08-08,24.33
1990-08-09,24.33
1990-08-10,24.5
1990-08-13,24.5
1990-08-14,24.74
1990-08-15,24.82
1990-08-16,24.41
1990-08-17,23.11
1990-08-20,23.03
1990-08-21,21.96
1990-08-22,21.8
1990-08-23,21.31
1990-08-24,21.56
1990-08-27,21.56
1990-08-28,22.29
1990-08-29,22.37
1990-08-30,22.62
1990-08-31,23.68
1990-09-03,24.17
1990-09-04,23.68
1990-09-05,23.03
1990-09-06,22.78
1990-09-07,22.21
1990-09-10,22.13
1990-09-11,22.13
1990-09-12,21.56
1990-09-13,21.47
1990-09-14,20.09
1990-09-17,19.19
1990-09-18,19.35
1990-09-19,19.11
1990-09-20,19.19
1990-09-21,19.19
1990-09-24,18.78
1990-09-25,19.03
1990-09-26,19.35
1990-09-27,19.43
1990-09-28,18.94
1990-10-01,19.35
1990-10-02,20.74
1990-10-03,21.15
1990-10-04,21.07
1990-10-05,21.39
1990-10-08,22.37
1990-10-09,21.64
1990-10-10,21.23
1990-10-11,21.23
1990-10-12,20.66
1990-10-15,20.74
1990-10-16,20.25
1990-10-17,19.52
1990-10-18,19.92
1990-10-19,21.07
1990-10-22,21.15
1990-10-23,21.96
1990-10-24,22.54
1990-10-25,23.03
1990-10-26,21.96
1990-10-29,21.8
1990-10-30,21.64
1990-10-31,22.13
1990-11-01,21.56
1990-11-02,21.15
1990-11-05,21.72
1990-11-06,21.8
1990-11-07,20.99
1990-11-08,20.49
1990-11-09,20.74
1990-11-12,21.15
1990-11-13,22.7
1990-11-14,22.7
1990-11-15,23.19
1990-11-16,23.35
1990-11-19,23.11
1990-11-20,22.54
1990-11-21,22.21
1990-11-22,22.37
1990-11-23,23.19
1990-11-26,22.54
1990-11-27,22.54
1990-11-28,22.13
1990-11-29,22.21
1990-11-30,21.23
1990-12-03,21.07
1990-12-04,20.9
1990-12-05,21.39
1990-12-06,21.31
1990-12-07,21.23
1990-12-10,21.23
1990-12-11,21.15
1990-12-12,20.58
1990-12-13,20.74
1990-12-14,21.23
1990-12-17,21.23
1990-12-18,21.56
1990-12-19,21.88
1990-12-20,21.96
1990-12-21,22.54
1990-12-24,22.54
1990-12-25,22.54
1990-12-26,22.54
1990-12-27,21.72
1990-12-28,21.47
1990-12-31,20.99
1991-01-01,20.99
1991-01-02,20.82
1991-01-03,20.58
1991-01-04,20.9
1991-01-07,20.9
1991-01-08,21.07
1991-01-09,21.96
1991-01-10,21.56
1991-01-11,21.47
1991-01-14,21.72
1991-01-15,21.64
1991-01-16,21.64
1991-01-17,22.86
1991-01-18,22.78
1991-01-21,22.82
1991-01-22,22.86
1991-01-23,23.11
1991-01-24,23.52
1991-01-25,23.68
1991-01-28,23.76
1991-01-29,23.35
1991-01-30,23.03
1991-01-31,23.27
1991-02-01,23.43
1991-02-04,23.19
1991-02-05,22.94
1991-02-06,23.35
1991-02-07,23.11
1991-02-08,23.52
1991-02-11,24.33
1991-02-12,24.33
1991-02-13,24.58
1991-02-14,25.39
1991-02-15,25.48
1991-02-18,25.8
1991-02-19,25.56
1991-02-20,24.82
1991-02-21,25.64
1991-02-22,26.46
1991-02-25,27.27
1991-02-26,26.86
1991-02-27,27.27
1991-02-28,27.76
1991-03-01,28.5
1991-03-04,28.58
1991-03-05,28.91
1991-03-06,28.42
1991-03-07,27.76
1991-03-08,28.17
1991-03-11,28.58
1991-03-12,28.66
1991-03-13,28.58
1991-03-14,29.39
1991-03-15,29.64
1991-03-18,29.48
1991-03-19,28.58
1991-03-20,28.99
1991-03-21,28.99
1991-03-22,28.58
1991-03-25,29.23
1991-03-26,29.8
1991-03-27,29.97
1991-03-28,29.56
1991-03-29,29.56
1991-04-01,29.56
1991-04-02,29.97
1991-04-03,30.13
1991-04-04,30.78
1991-04-05,33.48
1991-04-08,32.25
1991-04-09,31.35
1991-04-10,31.19
1991-04-11,31.19
1991-04-12,30.86
1991-04-15,31.11
1991-04-16,31.11
1991-04-17,32.09
1991-04-18,32.33
1991-04-19,32.17
1991-04-22,31.03
1991-04-23,31.44
1991-04-24,31.19
1991-04-25,30.78
1991-04-26,30.54
1991-04-29,30.7
1991-04-30,29.97
1991-05-01,29.72
1991-05-02,30.29
1991-05-03,30.29
1991-05-06,30.29
1991-05-07,30.21
1991-05-08,30.05
1991-05-09,30.62
1991-05-10,31.03
1991-05-13,30.86
1991-05-14,30.54
1991-05-15,30.46
1991-05-16,30.21
1991-05-17,29.72
1991-05-20,30.38
1991-05-21,30.54
1991-05-22,30.54
1991-05-23,30.7
1991-05-24,30.86
1991-05-27,30.86
1991-05-28,30.95
1991-05-29,31.27
1991-05-30,31.27
1991-05-31,31.44
1991-06-03,31.6
1991-06-04,32.09
