Date,Price
1998-01-30,5.41
1998-02-02,6.58
1998-02-03,7.01
1998-02-04,6.71
1998-02-05,6.49
1998-02-06,5.92
1998-02-09,5.73
1998-02-10,5.94
1998-02-11,6.32
1998-02-12,6.61
1998-02-13,6.58
1998-02-17,6.63
1998-02-18,6.63
1998-02-19,6.53
1998-02-20,6.77
1998-02-23,6.16
1998-02-24,5.81
1998-02-25,6.16
1998-02-26,6.13
1998-02-27,6.08
1998-03-02,6.04
1998-03-03,6.05
1998-03-04,5.86
1998-03-05,5.67
1998-03-06,6.01
1998-03-09,6.42
1998-03-10,7.02
1998-03-11,7.62
1998-03-12,8.17
1998-03-13,8.04
1998-03-16,9.5
1998-03-17,9.41
1998-03-18,9.14
1998-03-19,9.15
1998-03-20,8.74
1998-03-23,9.15
1998-03-24,9.45
1998-03-25,9.13
1998-03-26,8.92
1998-03-27,9.02
1998-03-30,9.23
1998-03-31,9.34
1998-04-01,10.19
1998-04-02,9.39
1998-04-03,9.02
1998-04-06,8.68
1998-04-07,8.27
1998-04-08,8.65
1998-04-09,9.34
1998-04-13,9.53
1998-04-14,9.31
1998-04-15,9.13
1998-04-16,9.13
1998-04-17,9.0
1998-04-20,8.86
1998-04-21,8.65
1998-04-22,8.7
1998-04-23,8.09
1998-04-24,7.48
1998-04-27,7.88
1998-04-28,7.78
1998-04-29,7.55
1998-04-30,8.15
1998-05-01,8.49
1998-05-04,8.17
1998-05-05,7.66
1998-05-06,7.58
1998-05-07,7.48
1998-05-08,7.54
1998-05-11,7.43
1998-05-12,7.38
1998-05-13,8.12
1998-05-14,7.91
1998-05-15,7.66
1998-05-18,7.58
1998-05-19,7.62
1998-05-20,7.7
1998-05-21,8.01
1998-05-22,7.51
1998-05-26,7.32
1998-05-27,6.9
1998-05-28,6.95
1998-05-29,6.78
1998-06-01,6.16
1998-06-02,5.97
1998-06-03,6.05
1998-06-04,6.1
1998-06-05,6.16
1998-06-08,5.73
1998-06-09,5.81
1998-06-10,5.84
1998-06-11,5.73
1998-06-12,5.94
1998-06-15,5.73
1998-06-16,5.76
1998-06-17,6.08
1998-06-18,6.37
1998-06-19,6.34
1998-06-22,7.43
1998-06-23,8.12
1998-06-24,8.86
1998-06-25,8.49
1998-06-26,8.12
1998-06-29,7.75
1998-06-30,7.93
1998-07-01,8.81
1998-07-02,8.81
1998-07-06,8.93
1998-07-07,8.97
1998-07-08,8.85
1998-07-09,9.13
1998-07-10,9.34
1998-07-13,9.01
1998-07-14,9.08
1998-07-15,9.0
1998-07-16,9.05
1998-07-17,8.86
1998-07-20,8.81
1998-07-21,8.65
1998-07-22,8.44
1998-07-23,8.2
1998-07-24,8.33
1998-07-27,7.64
1998-07-28,7.56
1998-07-29,7.03
1998-07-30,6.79
1998-07-31,6.58
1998-08-03,6.42
1998-08-04,6.4
1998-08-05,6.29
1998-08-06,6.38
1998-08-07,6.93
1998-08-10,6.9
1998-08-11,6.79
1998-08-12,6.45
1998-08-13,6.4
1998-08-14,6.06
1998-08-17,5.84
1998-08-18,6.69
1998-08-19,7.03
1998-08-20,6.59
1998-08-21,6.58
1998-08-24,6.42
1998-08-25,6.53
1998-08-26,6.4
1998-08-27,5.92
1998-08-28,6.0
1998-08-31,6.02
1998-09-01,6.37
1998-09-02,6.32
1998-09-03,6.0
1998-09-04,6.08
1998-09-08,6.0
1998-09-09,5.94
1998-09-10,5.02
1998-09-11,5.41
1998-09-14,5.71
1998-09-15,5.47
1998-09-16,5.52
1998-09-17,5.44
1998-09-18,5.52
1998-09-21,5.39
