Date,Price
1997-05-05,8.2
1997-05-06,8.22
1997-05-07,7.62
1997-05-08,7.22
1997-05-09,7.22
1997-05-12,7.22
1997-05-13,7.17
1997-05-14,7.31
1997-05-15,7.5
1997-05-16,7.41
1997-05-19,7.5
1997-05-20,7.6
1997-05-21,7.65
1997-05-22,7.65
1997-05-23,7.69
1997-05-27,7.74
1997-05-28,7.77
1997-05-29,7.74
1997-05-30,7.79
1997-06-02,8.03
1997-06-03,8.12
1997-06-04,8.03
1997-06-05,8.17
1997-06-06,8.24
1997-06-09,8.36
1997-06-10,8.36
1997-06-11,8.12
1997-06-12,8.03
1997-06-13,8.08
1997-06-16,7.98
1997-06-17,7.98
1997-06-18,8.0
1997-06-19,8.36
1997-06-20,8.36
1997-06-23,8.46
1997-06-24,8.29
1997-06-25,8.22
1997-06-26,8.2
1997-06-27,8.08
1997-06-30,8.08
1997-07-01,8.36
1997-07-02,8.22
1997-07-03,8.15
1997-07-07,8.17
1997-07-08,8.03
1997-07-09,7.93
1997-07-10,8.15
1997-07-11,8.12
1997-07-14,8.09
1997-07-15,8.12
1997-07-16,8.06
1997-07-17,7.99
1997-07-18,7.85
1997-07-21,7.6
1997-07-22,7.69
1997-07-23,8.22
1997-07-24,8.05
1997-07-25,8.05
1997-07-28,7.91
1997-07-29,7.69
1997-07-30,7.89
1997-07-31,7.69
1997-08-01,7.55
1997-08-04,7.48
1997-08-05,7.48
1997-08-06,7.57
1997-08-07,7.41
1997-08-08,7.53
1997-08-11,7.55
1997-08-12,7.43
1997-08-13,7.38
1997-08-14,7.41
1997-08-15,7.36
1997-08-18,7.29
1997-08-19,7.36
1997-08-20,7.65
1997-08-21,7.55
1997-08-22,7.57
1997-08-25,7.67
1997-08-26,7.65
1997-08-27,7.67
1997-08-28,7.67
1997-08-29,7.67
1997-09-02,7.91
1997-09-03,7.98
1997-09-04,7.91
1997-09-05,8.03
1997-09-08,8.03
1997-09-09,8.08
1997-09-10,8.11
1997-09-11,8.05
1997-09-12,8.22
1997-09-15,8.24
1997-09-16,8.28
1997-09-17,8.47
1997-09-18,8.18
1997-09-19,8.4
1997-09-22,8.44
1997-09-23,8.15
1997-09-24,7.78
1997-09-25,7.46
1997-09-26,7.5
1997-09-29,7.77
1997-09-30,7.89
1997-10-01,7.9
1997-10-02,7.87
1997-10-03,7.9
1997-10-06,7.91
1997-10-07,8.05
1997-10-08,7.95
1997-10-09,7.91
1997-10-10,8.08
1997-10-13,8.18
1997-10-14,8.23
1997-10-15,8.22
1997-10-16,8.09
1997-10-17,7.98
1997-10-20,8.05
1997-10-21,8.15
1997-10-22,5.83
1997-10-23,5.54
1997-10-24,5.76
1997-10-27,5.35
1997-10-28,5.64
1997-10-29,5.4
1997-10-30,5.16
1997-10-31,5.16
1997-11-03,5.28
1997-11-04,5.27
1997-11-05,5.19
1997-11-06,5.11
1997-11-07,5.11
1997-11-10,5.05
1997-11-11,5.04
1997-11-12,4.83
1997-11-13,4.81
1997-11-14,4.84
1997-11-17,4.93
1997-11-18,4.81
1997-11-19,4.83
1997-11-20,4.86
1997-11-21,4.76
1997-11-24,4.64
1997-11-25,4.68
1997-11-26,4.58
1997-11-28,4.64
1997-12-01,4.61
1997-12-02,4.44
1997-12-03,4.4
1997-12-04,4.53
1997-12-05,4.58
1997-12-08,4.55
1997-12-09,4.59
1997-12-10,4.59
1997-12-11,4.73
1997-12-12,4.71
1997-12-15,4.8
1997-12-16,4.73
1997-12-17,4.8
1997-12-18,4.87
1997-12-19,4.74
1997-12-22,4.66
1997-12-23,4.62
1997-12-24,4.6
1997-12-26,4.6
1997-12-29,4.59
1997-12-30,4.61
1997-12-31,4.67
1998-01-02,4.64
1998-01-05,4.66
1998-01-06,4.6
1998-01-07,4.59
1998-01-08,4.54
1998-01-09,4.36
1998-01-12,4.27
1998-01-13,4.3
1998-01-14,4.37
1998-01-15,4.5
1998-01-16,4.85
1998-01-20,4.8
1998-01-21,4.8
1998-01-22,4.7
1998-01-23,4.67
1998-01-26,4.61
1998-01-27,4.56
1998-01-28,4.59
1998-01-29,4.67
1998-01-30,4.68
1998-02-02,5.11
1998-02-03,4.99
1998-02-04,4.98
1998-02-05,5.11
1998-02-06,5.26
1998-02-09,5.23
1998-02-10,5.28
1998-02-11,5.27
1998-02-12,5.23
1998-02-13,5.22
1998-02-17,5.26
1998-02-18,5.22
1998-02-19,5.57
1998-02-20,5.56
1998-02-23,5.54
1998-02-24,5.46
1998-02-25,5.5
1998-02-26,5.51
1998-02-27,5.48
1998-03-02,5.46
1998-03-03,5.45
1998-03-04,5.45
1998-03-05,5.39
1998-03-06,5.35
1998-03-09,5.34
1998-03-10,5.46
1998-03-11,5.39
1998-03-12,5.36
1998-03-13,5.35
1998-03-16,5.35
1998-03-17,5.4
1998-03-18,5.4
1998-03-19,5.5
1998-03-20,5.48
1998-03-23,5.52
1998-03-24,5.63
1998-03-25,5.57
1998-03-26,5.75
1998-03-27,5.75
1998-03-30,5.68
1998-03-31,5.72
1998-04-01,5.72
1998-04-02,5.65
1998-04-03,5.6
1998-04-06,5.64
1998-04-07,5.66
1998-04-08,5.62
1998-04-09,5.54
1998-04-13,5.53
1998-04-14,5.53
1998-04-15,5.46
1998-04-16,5.47
1998-04-17,5.54
1998-04-20,5.69
1998-04-21,5.58
1998-04-22,5.35
1998-04-23,5.35
1998-04-24,5.34
1998-04-27,5.17
1998-04-28,5.08
1998-04-29,5.08
1998-04-30,5.19
1998-05-01,6.67
1998-05-04,6.69
1998-05-05,6.52
1998-05-06,6.28
1998-05-07,6.21
1998-05-08,6.31
1998-05-11,6.31
1998-05-12,6.36
1998-05-13,6.57
1998-05-14,6.48
1998-05-15,6.26
1998-05-18,6.26
1998-05-19,6.31
1998-05-20,6.24
1998-05-21,6.31
1998-05-22,6.19
1998-05-26,6.02
1998-05-27,6.07
1998-05-28,6.09
1998-05-29,6.16
1998-06-01,6.09
1998-06-02,6.07
1998-06-03,5.97
1998-06-04,5.93
1998-06-05,5.66
1998-06-08,5.64
1998-06-09,5.73
1998-06-10,5.76
1998-06-11,5.64
1998-06-12,5.57
1998-06-15,5.3
1998-06-16,5.42
1998-06-17,5.47
1998-06-18,5.57
1998-06-19,5.47
1998-06-22,5.4
1998-06-23,5.54
1998-06-24,5.5
1998-06-25,5.3
1998-06-26,5.45
1998-06-29,5.33
1998-06-30,5.28
1998-07-01,5.35
1998-07-02,5.45
1998-07-06,5.71
1998-07-07,5.62
1998-07-08,5.62
1998-07-09,5.62
1998-07-10,5.52
1998-07-13,5.28
1998-07-14,5.26
1998-07-15,4.85
1998-07-16,4.28
1998-07-17,4.4
1998-07-20,4.28
1998-07-21,4.18
1998-07-22,4.23
1998-07-23,4.33
1998-07-24,4.49
1998-07-27,4.44
1998-07-28,4.59
1998-07-29,4.66
1998-07-30,4.52
1998-07-31,4.47
1998-08-03,4.4
1998-08-04,4.3
1998-08-05,4.28
1998-08-06,4.35
1998-08-07,4.4
1998-08-10,4.25
1998-08-11,4.16
1998-08-12,4.25
1998-08-13,4.42
1998-08-14,4.54
1998-08-17,4.47
1998-08-18,4.47
1998-08-19,4.44
1998-08-20,4.4
1998-08-21,4.35
1998-08-24,4.21
1998-08-25,4.25
1998-08-26,4.23
1998-08-27,4.21
1998-08-28,4.11
1998-08-31,4.06
1998-09-01,4.28
1998-09-02,4.09
1998-09-03,4.01
1998-09-04,4.21
1998-09-08,4.25
1998-09-09,4.13
1998-09-10,4.01
1998-09-11,4.13
1998-09-14,4.35
1998-09-15,4.33
1998-09-16,4.4
1998-09-17,4.33
1998-09-18,4.33
1998-09-21,4.3
1998-09-22,4.33
1998-09-23,4.42
1998-09-24,4.61
1998-09-25,4.64
1998-09-28,4.59
1998-09-29,4.56
1998-09-30,4.54
1998-10-01,4.4
1998-10-02,4.44
1998-10-05,4.3
1998-10-06,4.16
1998-10-07,4.04
1998-10-08,3.82
1998-10-09,4.3
1998-10-12,4.21
1998-10-13,4.04
1998-10-14,4.16
1998-10-15,4.16
1998-10-16,4.13
1998-10-19,4.16
1998-10-20,4.04
1998-10-21,3.99
1998-10-22,4.23
1998-10-23,4.25
1998-10-26,4.33
1998-10-27,4.35
1998-10-28,4.28
1998-10-29,4.37
1998-10-30,4.37
1998-11-02,4.54
1998-11-03,4.59
1998-11-04,4.68
1998-11-05,4.68
1998-11-06,4.78
1998-11-09,4.83
1998-11-10,4.92
1998-11-11,4.92
