Date,Price
1990-01-02,8.44
1990-01-03,8.42
1990-01-04,8.17
1990-01-05,7.99
1990-01-08,8.05
1990-01-09,7.83
1990-01-10,7.62
1990-01-11,7.65
1990-01-12,7.32
1990-01-15,7.35
1990-01-16,7.43
1990-01-17,7.32
1990-01-18,7.31
1990-01-19,7.38
1990-01-22,7.04
1990-01-23,7.16
1990-01-24,7.1
1990-01-25,7.07
1990-01-26,7.09
1990-01-29,7.11
1990-01-30,7.08
1990-01-31,7.31
1990-02-01,7.33
1990-02-02,7.31
1990-02-05,7.19
1990-02-06,6.99
1990-02-07,6.93
1990-02-08,6.86
1990-02-09,6.92
1990-02-12,6.88
1990-02-13,6.86
1990-02-14,6.86
1990-02-15,6.88
1990-02-16,6.8
1990-02-20,6.52
1990-02-21,6.48
1990-02-22,6.47
1990-02-23,6.49
1990-02-26,6.58
1990-02-27,6.64
1990-02-28,6.72
1990-03-01,6.79
1990-03-02,6.82
1990-03-05,6.84
1990-03-06,7.0
1990-03-07,6.93
1990-03-08,7.01
1990-03-09,6.94
1990-03-12,6.95
1990-03-13,6.85
1990-03-14,6.77
1990-03-15,6.75
1990-03-16,6.8
1990-03-19,6.86
1990-03-20,6.8
1990-03-21,6.77
1990-03-22,6.75
1990-03-23,6.85
1990-03-26,6.88
1990-03-27,6.97
1990-03-28,6.99
1990-03-29,6.99
1990-03-30,7.05
1990-04-02,7.12
1990-04-03,7.24
1990-04-04,7.19
1990-04-05,7.12
1990-04-06,7.16
1990-04-09,7.14
1990-04-10,7.12
1990-04-11,7.18
1990-04-12,7.28
1990-04-16,7.39
1990-04-17,7.4
1990-04-18,7.34
1990-04-19,7.25
1990-04-20,7.23
1990-04-23,7.13
1990-04-24,7.06
1990-04-25,7.1
1990-04-26,7.08
1990-04-27,7.02
1990-04-30,7.07
1990-05-01,7.15
1990-05-02,7.17
1990-05-03,7.24
1990-05-04,7.4
1990-05-07,7.49
1990-05-08,7.53
1990-05-09,7.53
1990-05-10,7.55
1990-05-11,7.81
1990-05-14,7.98
1990-05-15,7.91
1990-05-16,7.94
1990-05-17,7.94
1990-05-18,8.04
1990-05-21,8.0
1990-05-22,7.98
1990-05-23,8.0
1990-05-24,7.81
1990-05-25,7.72
1990-05-29,7.94
1990-05-30,7.87
1990-05-31,7.89
1990-06-01,7.87
1990-06-04,7.92
1990-06-05,7.89
1990-06-06,7.91
1990-06-07,7.81
1990-06-08,7.75
1990-06-11,7.79
1990-06-12,7.96
1990-06-13,7.92
1990-06-14,7.83
1990-06-15,7.74
1990-06-18,7.57
1990-06-19,7.53
1990-06-20,7.55
1990-06-21,7.6
1990-06-22,7.4
1990-06-25,7.38
1990-06-26,7.43
1990-06-27,7.57
1990-06-28,7.58
1990-06-29,7.51
1990-07-02,7.68
1990-07-03,7.62
1990-07-05,7.44
1990-07-06,7.41
1990-07-09,7.39
1990-07-10,7.23
1990-07-11,7.12
1990-07-12,7.14
1990-07-13,7.14
1990-07-16,7.23
1990-07-17,7.1
1990-07-18,6.95
1990-07-19,7.08
1990-07-20,7.18
1990-07-23,7.08
1990-07-24,7.18
1990-07-25,7.25
1990-07-26,7.18
1990-07-27,7.1
1990-07-30,7.29
1990-07-31,7.56
1990-08-01,7.64
1990-08-02,7.5
1990-08-03,7.39
1990-08-06,7.06
1990-08-07,7.0
1990-08-08,7.12
1990-08-09,7.06
1990-08-10,7.0
1990-08-13,7.06
1990-08-14,7.04
1990-08-15,7.12
1990-08-16,6.93
1990-08-17,6.91
1990-08-20,6.93
1990-08-21,6.83
1990-08-22,6.56
1990-08-23,6.33
1990-08-24,6.14
1990-08-27,6.51
1990-08-28,6.39
1990-08-29,6.6
1990-08-30,6.3
1990-08-31,6.54
1990-09-04,6.49
1990-09-05,6.45
1990-09-06,6.31
1990-09-07,6.56
1990-09-10,6.49
1990-09-11,6.51
1990-09-12,6.66
1990-09-13,6.7
1990-09-14,6.85
1990-09-17,6.95
1990-09-18,6.98
1990-09-19,6.95
1990-09-20,6.97
1990-09-21,7.08
1990-09-24,6.97
1990-09-25,7.08
1990-09-26,7.04
1990-09-27,7.14
1990-09-28,7.23
1990-10-01,7.52
1990-10-02,7.6
1990-10-03,7.44
1990-10-04,7.46
1990-10-05,7.42
1990-10-08,7.51
1990-10-09,7.44
1990-10-10,7.2
1990-10-11,7.15
1990-10-12,7.4
1990-10-15,7.65
1990-10-16,7.61
1990-10-17,7.63
1990-10-18,7.82
1990-10-19,8.06
1990-10-22,8.17
1990-10-23,7.98
1990-10-24,7.9
1990-10-25,7.77
1990-10-26,7.71
1990-10-29,7.75
1990-10-30,7.88
1990-10-31,8.1
1990-11-01,8.19
1990-11-02,8.17
1990-11-05,8.29
1990-11-06,8.08
1990-11-07,7.8
1990-11-08,7.98
1990-11-09,8.21
1990-11-12,8.44
1990-11-13,8.19
1990-11-14,8.25
1990-11-15,8.13
1990-11-16,8.21
1990-11-19,8.27
1990-11-20,8.23
1990-11-21,8.23
1990-11-23,8.23
1990-11-26,8.17
1990-11-27,8.23
1990-11-28,8.25
1990-11-29,8.23
1990-11-30,8.42
1990-12-03,8.44
1990-12-04,8.54
1990-12-05,8.56
1990-12-06,8.62
1990-12-07,8.62
1990-12-10,8.7
1990-12-11,8.54
1990-12-12,8.64
1990-12-13,8.56
1990-12-14,8.52
1990-12-17,8.52
1990-12-18,8.68
1990-12-19,8.68
1990-12-20,8.54
1990-12-21,8.64
1990-12-24,8.58
1990-12-26,8.56
1990-12-27,8.42
1990-12-28,8.35
1990-12-31,8.31
1991-01-02,8.15
1991-01-03,8.08
1991-01-04,7.95
1991-01-07,7.64
1991-01-08,7.64
1991-01-09,7.6
1991-01-10,7.72
1991-01-11,7.82
1991-01-14,7.68
1991-01-15,7.74
1991-01-16,7.62
1991-01-17,8.19
1991-01-18,8.34
1991-01-21,8.46
1991-01-22,7.84
1991-01-23,7.46
1991-01-24,7.54
1991-01-25,7.64
1991-01-28,7.7
1991-01-29,7.54
1991-01-30,7.46
1991-01-31,7.6
1991-02-01,7.52
