Date,Price
2001-10-30,19.15
2001-10-31,19.61
2001-11-01,19.75
2001-11-02,20.09
2001-11-05,20.08
2001-11-06,20.63
2001-11-07,20.25
2001-11-08,20.0
2001-11-09,19.67
2001-11-12,20.07
2001-11-13,20.02
2001-11-14,21.52
2001-11-15,21.89
2001-11-16,21.92
2001-11-19,22.24
2001-11-20,22.85
2001-11-21,22.95
2001-11-23,23.03
2001-11-26,22.73
2001-11-27,22.76
2001-11-28,22.92
2001-11-29,23.42
2001-11-30,23.81
2001-12-03,24.02
2001-12-04,24.12
2001-12-05,22.88
2001-12-06,22.71
2001-12-07,22.76
2001-12-10,22.59
2001-12-11,22.57
2001-12-12,22.41
2001-12-13,22.52
2001-12-14,22.48
2001-12-17,23.06
2001-12-18,23.09
2001-12-19,22.48
2001-12-20,21.96
2001-12-21,21.42
2001-12-24,21.35
2001-12-26,21.66
2001-12-27,21.96
2001-12-28,22.71
2001-12-31,23.18
2002-01-02,22.85
2002-01-03,22.69
2002-01-04,22.41
2002-01-07,22.02
2002-01-08,22.2
2002-01-09,22.29
2002-01-10,23.46
2002-01-11,24.12
2002-01-14,24.3
2002-01-15,23.74
2002-01-16,23.88
2002-01-17,23.55
2002-01-18,23.87
2002-01-22,24.23
2002-01-23,24.47
2002-01-24,24.72
2002-01-25,25.23
2002-01-28,25.17
2002-01-29,24.91
2002-01-30,24.59
2002-01-31,24.91
2002-02-01,24.89
2002-02-04,24.44
2002-02-05,25.4
2002-02-06,26.46
2002-02-07,26.97
2002-02-08,27.02
2002-02-11,26.95
2002-02-12,26.64
2002-02-13,26.25
2002-02-14,26.42
2002-02-15,26.27
2002-02-19,25.46
2002-02-20,25.29
2002-02-21,26.01
2002-02-22,26.39
2002-02-25,26.72
2002-02-26,27.28
2002-02-27,27.15
2002-02-28,27.21
2002-03-01,27.18
2002-03-04,25.99
2002-03-05,25.59
2002-03-06,26.39
2002-03-07,26.35
2002-03-08,26.34
2002-03-11,26.5
2002-03-12,26.45
2002-03-13,26.48
2002-03-14,26.46
2002-03-15,26.64
2002-03-18,27.3
2002-03-19,26.41
2002-03-20,26.41
2002-03-21,26.83
2002-03-22,26.6
2002-03-25,26.5
2002-03-26,26.21
2002-03-27,27.16
2002-03-28,26.96
2002-04-01,27.28
2002-04-02,28.1
2002-04-03,27.79
2002-04-04,28.45
2002-04-05,29.0
2002-04-08,28.74
2002-04-09,28.49
2002-04-10,28.66
2002-04-11,28.49
2002-04-12,28.4
2002-04-15,28.54
2002-04-16,29.13
2002-04-17,30.27
2002-04-18,31.96
2002-04-19,32.01
2002-04-22,31.54
2002-04-23,30.88
2002-04-24,31.73
2002-04-25,33.34
2002-04-26,33.11
2002-04-29,31.21
2002-04-30,31.94
2002-05-01,33.14
2002-05-02,33.29
2002-05-03,33.65
2002-05-06,32.55
2002-05-07,31.65
2002-05-08,32.08
2002-05-09,31.91
2002-05-10,31.92
2002-05-13,30.91
2002-05-14,30.41
2002-05-15,30.17
2002-05-16,31.54
2002-05-17,32.73
2002-05-20,31.14
2002-05-21,31.54
2002-05-22,30.77
2002-05-23,30.85
2002-05-24,31.45
2002-05-28,31.14
2002-05-29,31.75
2002-05-30,33.13
2002-05-31,33.2
2002-06-03,32.91
2002-06-04,32.45
2002-06-05,33.72
2002-06-06,32.99
2002-06-07,33.67
2002-06-10,34.04
2002-06-11,34.3
2002-06-12,34.93
2002-06-13,33.9
2002-06-14,33.43
2002-06-17,34.42
2002-06-18,34.54
2002-06-19,34.39
2002-06-20,33.97
2002-06-21,33.95
2002-06-24,32.4
2002-06-25,31.07
2002-06-26,30.91
2002-06-27,31.33
2002-06-28,31.6
2002-07-01,30.09
2002-07-02,29.85
2002-07-03,30.32
2002-07-05,30.86
2002-07-08,31.23
2002-07-09,29.75
2002-07-10,28.35
2002-07-11,29.06
2002-07-12,30.13
2002-07-15,29.74
2002-07-16,28.94
2002-07-17,30.37
2002-07-18,30.67
2002-07-19,29.41
2002-07-22,27.44
2002-07-23,27.04
2002-07-24,29.51
2002-07-25,30.27
2002-07-26,29.97
2002-07-29,32.12
2002-07-30,30.86
2002-07-31,31.79
2002-08-01,32.26
2002-08-02,31.23
2002-08-05,28.33
2002-08-06,28.79
2002-08-07,28.85
2002-08-08,30.06
2002-08-09,29.67
2002-08-12,28.68
2002-08-13,28.71
2002-08-14,28.98
2002-08-15,27.93
2002-08-16,27.49
2002-08-19,29.03
2002-08-20,29.28
2002-08-21,28.85
2002-08-22,30.36
2002-08-23,30.2
2002-08-26,30.15
2002-08-27,29.18
2002-08-28,28.65
2002-08-29,29.92
