Date,Price
2006-10-02,17.42
2006-10-03,17.63
2006-10-04,17.44
2006-10-05,17.31
2006-10-06,17.25
2006-10-09,17.39
2006-10-10,17.37
2006-10-11,17.02
2006-10-12,16.77
2006-10-13,16.63
2006-10-16,16.52
2006-10-17,16.38
2006-10-18,16.75
2006-10-19,17.19
2006-10-20,17.3
2006-10-23,17.26
2006-10-24,17.59
2006-10-25,19.26
2006-10-26,19.69
2006-10-27,19.35
2006-10-30,19.49
2006-10-31,19.44
2006-11-01,19.37
2006-11-02,19.24
2006-11-03,18.99
2006-11-06,19.6
2006-11-07,19.83
2006-11-08,19.94
2006-11-09,20.52
2006-11-10,20.12
2006-11-13,20.49
2006-11-14,20.64
2006-11-15,20.58
2006-11-16,20.38
2006-11-17,19.99
2006-11-20,19.84
2006-11-21,19.88
2006-11-22,19.87
2006-11-24,19.71
2006-11-27,19.26
2006-11-28,19.06
2006-11-29,19.53
2006-11-30,20.1
2006-12-01,20.14
2006-12-04,20.72
2006-12-05,21.26
2006-12-06,20.67
2006-12-07,21.08
2006-12-08,21.02
2006-12-11,20.78
2006-12-12,20.54
2006-12-13,20.14
2006-12-14,20.08
2006-12-15,20.27
2006-12-18,20.18
2006-12-19,19.89
2006-12-20,19.75
2006-12-21,19.6
2006-12-22,19.38
2006-12-26,19.51
2006-12-27,19.84
2006-12-28,19.71
2006-12-29,19.77
2007-01-03,20.03
2007-01-04,20.2
2007-01-05,19.69
2007-01-08,19.37
2007-01-09,19.62
2007-01-10,19.81
2007-01-11,19.97
2007-01-12,20.1
2007-01-16,19.58
2007-01-17,19.15
2007-01-18,19.05
2007-01-19,18.88
2007-01-22,18.55
2007-01-23,19.22
2007-01-24,18.87
2007-01-25,18.58
2007-01-26,18.47
2007-01-29,18.69
2007-01-30,19.15
2007-01-31,19.7
2007-02-01,20.77
2007-02-02,20.3
2007-02-05,20.15
2007-02-06,19.87
2007-02-07,19.89
2007-02-08,19.49
2007-02-09,19.22
2007-02-12,19.37
2007-02-13,19.37
2007-02-14,19.68
2007-02-15,19.82
2007-02-16,19.53
2007-02-20,19.54
2007-02-21,19.52
2007-02-22,19.22
2007-02-23,19.3
2007-02-26,19.73
2007-02-27,19.09
2007-02-28,19.11
2007-03-01,18.88
2007-03-02,18.59
