Date,Price
1990-06-18,1.0
1990-06-19,1.03
1990-06-20,1.03
1990-06-21,1.03
1990-06-22,1.02
1990-06-25,1.01
1990-06-26,0.99
1990-06-27,1.03
1990-06-28,1.03
1990-06-29,1.01
1990-07-02,1.0
1990-07-03,1.01
1990-07-05,0.99
1990-07-06,1.01
1990-07-09,0.99
1990-07-10,1.04
1990-07-11,1.03
1990-07-12,1.03
1990-07-13,1.08
1990-07-16,1.08
1990-07-17,1.08
1990-07-18,1.11
1990-07-19,1.1
1990-07-20,1.09
1990-07-23,1.03
1990-07-24,1.0
1990-07-25,1.04
1990-07-26,1.03
1990-07-27,1.03
1990-07-30,0.99
1990-07-31,0.98
1990-08-01,0.99
1990-08-02,0.92
1990-08-03,0.9
1990-08-06,0.84
1990-08-07,0.89
1990-08-08,0.96
1990-08-09,0.94
1990-08-10,0.94
1990-08-13,0.9
1990-08-14,0.92
1990-08-15,0.96
1990-08-16,0.87
1990-08-17,0.91
1990-08-20,0.89
1990-08-21,0.89
1990-08-22,0.89
1990-08-23,0.86
1990-08-24,0.89
1990-08-27,0.98
1990-08-28,0.99
1990-08-29,0.96
1990-08-30,0.96
1990-08-31,1.01
1990-09-04,1.04
1990-09-05,1.03
1990-09-06,0.99
1990-09-07,0.91
1990-09-10,0.94
1990-09-11,0.92
1990-09-12,0.98
1990-09-13,0.96
1990-09-14,0.96
1990-09-17,0.99
1990-09-18,0.98
1990-09-19,0.99
1990-09-20,0.98
1990-09-21,0.97
1990-09-24,0.89
1990-09-25,0.92
1990-09-26,0.89
1990-09-27,0.86
1990-09-28,0.86
1990-10-01,0.89
1990-10-02,0.82
1990-10-03,0.74
1990-10-04,0.74
1990-10-05,0.72
1990-10-08,0.69
1990-10-09,0.69
1990-10-10,0.69
1990-10-11,0.66
1990-10-12,0.69
1990-10-15,0.71
1990-10-16,0.71
1990-10-17,0.74
1990-10-18,0.74
1990-10-19,0.75
1990-10-22,0.79
1990-10-23,0.78
1990-10-24,0.75
1990-10-25,0.74
1990-10-26,0.76
1990-10-29,0.76
1990-10-30,0.76
1990-10-31,0.76
1990-11-01,0.77
1990-11-02,0.82
1990-11-05,0.82
1990-11-06,0.82
1990-11-07,0.82
1990-11-08,0.82
1990-11-09,0.82
1990-11-12,0.87
1990-11-13,0.89
1990-11-14,0.92
1990-11-15,0.92
1990-11-16,0.91
1990-11-19,0.91
1990-11-20,0.9
1990-11-21,0.89
1990-11-23,0.82
1990-11-26,0.82
1990-11-27,0.86
1990-11-28,0.86
1990-11-29,0.86
1990-11-30,0.86
1990-12-03,0.89
1990-12-04,0.91
1990-12-05,0.92
1990-12-06,0.96
1990-12-07,0.87
1990-12-10,0.82
1990-12-11,0.84
1990-12-12,0.91
1990-12-13,0.89
1990-12-14,0.88
1990-12-17,0.87
1990-12-18,0.89
1990-12-19,0.91
1990-12-20,0.89
1990-12-21,0.88
1990-12-24,0.87
1990-12-26,0.92
1990-12-27,0.9
1990-12-28,0.91
1990-12-31,0.92
1991-01-02,0.91
1991-01-03,0.91
1991-01-04,0.89
1991-01-07,0.85
1991-01-08,0.89
1991-01-09,0.91
1991-01-10,0.98
1991-01-11,0.96
1991-01-14,0.94
1991-01-15,0.91
1991-01-16,0.99
1991-01-17,1.08
1991-01-18,1.07
1991-01-21,1.08
1991-01-22,1.15
1991-01-23,1.15
1991-01-24,1.18
1991-01-25,1.14
1991-01-28,1.19
1991-01-29,1.23
1991-01-30,1.29
1991-01-31,1.29
1991-02-01,1.26
1991-02-04,1.29
1991-02-05,1.35
1991-02-06,1.36
1991-02-07,1.26
1991-02-08,1.26
1991-02-11,1.23
1991-02-12,1.19
1991-02-13,1.23
1991-02-14,1.19
1991-02-15,1.23
1991-02-19,1.21
1991-02-20,1.19
1991-02-21,1.23
1991-02-22,1.23
1991-02-25,1.23
1991-02-26,1.18
1991-02-27,1.19
1991-02-28,1.21
1991-03-01,1.29
1991-03-04,1.38
1991-03-05,1.45
