Date,Price
2013-02-01,30.55
2013-02-04,30.56
2013-02-05,30.58
2013-02-06,30.57
2013-02-07,31.52
2013-02-08,32.56
2013-02-11,32.76
2013-02-12,33.24
2013-02-13,33.05
2013-02-14,32.77
2013-02-15,33.47
2013-02-19,33.34
2013-02-20,32.23
2013-02-21,32.07
2013-02-22,32.1
2013-02-25,31.59
2013-02-26,31.56
2013-02-27,31.84
2013-02-28,32.95
2013-03-01,34.08
2013-03-04,33.84
2013-03-05,33.78
2013-03-06,33.35
2013-03-07,34.04
2013-03-08,33.58
2013-03-11,33.67
2013-03-12,33.32
2013-03-13,33.49
2013-03-14,34.12
2013-03-15,32.94
2013-03-18,32.35
2013-03-19,32.31
2013-03-20,33.01
2013-03-21,32.97
2013-03-22,32.63
2013-03-25,31.98
2013-03-26,32.03
2013-03-27,32.25
2013-03-28,32.9
2013-04-01,32.1
2013-04-02,32.06
2013-04-03,32.05
2013-04-04,31.37
2013-04-05,31.48
2013-04-08,32.43
2013-04-09,32.94
2013-04-10,32.66
2013-04-11,32.67
2013-04-12,32.73
2013-04-15,31.76
2013-04-16,32.71
2013-04-17,32.4
2013-04-18,31.99
2013-04-19,32.22
2013-04-22,32.17
2013-04-23,31.23
2013-04-24,30.16
2013-04-25,31.08
2013-04-26,32.15
2013-04-29,32.24
2013-04-30,32.59
2013-05-01,32.96
2013-05-02,32.85
2013-05-03,32.78
2013-05-06,32.51
2013-05-07,32.45
2013-05-08,32.83
2013-05-09,33.12
2013-05-10,32.75
2013-05-13,32.61
2013-05-14,32.65
2013-05-15,32.37
2013-05-16,32.96
2013-05-17,33.46
2013-05-20,33.27
2013-05-21,32.61
2013-05-22,33.12
2013-05-23,32.42
2013-05-24,33.03
2013-05-28,33.82
2013-05-29,32.52
2013-05-30,31.82
2013-05-31,31.59
2013-06-03,32.33
2013-06-04,31.98
2013-06-05,31.75
2013-06-06,31.66
2013-06-07,31.09
2013-06-10,31.6
2013-06-11,31.29
2013-06-12,31.12
2013-06-13,30.77
2013-06-14,30.4
2013-06-17,30.56
2013-06-18,30.78
2013-06-19,30.6
2013-06-20,29.8
2013-06-21,30.2
2013-06-24,29.99
2013-06-25,31.08
2013-06-26,30.57
2013-06-27,30.47
2013-06-28,30.49
2013-07-01,30.21
2013-07-02,29.32
2013-07-03,28.9
2013-07-05,29.78
2013-07-08,30.54
2013-07-09,30.58
2013-07-10,30.64
2013-07-11,30.52
2013-07-12,30.94
2013-07-15,31.17
2013-07-16,30.76
2013-07-17,30.59
2013-07-18,30.42
2013-07-19,29.85
2013-07-22,29.88
2013-07-23,29.67
2013-07-24,29.51
2013-07-25,30.13
2013-07-26,30.04
2013-07-29,29.7
2013-07-30,29.72
2013-07-31,29.49
2013-08-01,29.83
2013-08-02,30.61
2013-08-05,30.91
2013-08-06,30.79
2013-08-07,30.9
2013-08-08,30.9
2013-08-09,30.58
2013-08-12,30.0
2013-08-13,30.12
2013-08-14,29.81
2013-08-15,29.7
2013-08-16,29.68
2013-08-19,29.55
2013-08-20,29.9
2013-08-21,29.53
2013-08-22,29.55
2013-08-23,29.87
2013-08-26,29.48
2013-08-27,28.88
2013-08-28,29.25
2013-08-29,29.15
2013-08-30,28.84
2013-09-03,29.11
2013-09-04,29.37
2013-09-05,30.0
2013-09-06,30.28
2013-09-09,30.26
2013-09-10,30.62
2013-09-11,30.99
2013-09-12,30.74
2013-09-13,30.71
2013-09-16,31.51
2013-09-17,32.03
2013-09-18,32.37
2013-09-19,32.16
2013-09-20,31.84
2013-09-23,31.24
2013-09-24,31.14
2013-09-25,30.72
2013-09-26,31.24
2013-09-27,30.81
2013-09-30,30.78
2013-10-01,31.44
2013-10-02,31.65
2013-10-03,31.14
2013-10-04,31.7
2013-10-07,31.59
2013-10-08,31.19
2013-10-09,31.09
2013-10-10,32.01
2013-10-11,32.05
2013-10-14,31.94
2013-10-15,31.72
2013-10-16,32.53
2013-10-17,32.67
2013-10-18,32.86
2013-10-21,32.42
2013-10-22,32.16
2013-10-23,32.25
2013-10-24,32.39
2013-10-25,32.12
2013-10-28,31.63
2013-10-29,31.68
2013-10-30,31.78
2013-10-31,31.38
2013-11-01,31.56
2013-11-04,31.65
2013-11-05,31.41
2013-11-06,31.0
2013-11-07,30.77
2013-11-08,31.31
2013-11-11,31.49
2013-11-12,31.56
2013-11-13,31.44
2013-11-14,31.4
2013-11-15,31.53
2013-11-18,31.34
2013-11-19,31.14
2013-11-20,31.09
2013-11-21,31.3
2013-11-22,31.08
2013-11-25,31.01
2013-11-26,31.14
2013-11-27,31.01
2013-11-29,30.88
2013-12-02,30.88
2013-12-03,30.82
2013-12-04,30.94
2013-12-05,31.16
2013-12-06,31.26
2013-12-09,31.47
2013-12-10,31.08
2013-12-11,30.82
