DATE,EURONTD156N
2001-01-02,4.84125
2001-01-03,4.8325
2001-01-04,4.8225
2001-01-05,4.78
2001-01-08,4.77625
2001-01-09,4.78125
2001-01-10,4.82
2001-01-11,4.8293800000000005
2001-01-12,4.825
2001-01-15,4.8225
2001-01-16,4.815
2001-01-17,4.78875
2001-01-18,4.76875
2001-01-19,4.7275
2001-01-22,4.64
2001-01-23,4.29375
2001-01-24,4.78875
2001-01-25,4.785
2001-01-26,4.7925
2001-01-29,4.79375
2001-01-30,4.795
2001-01-31,4.82375
2001-02-01,4.7725
2001-02-02,4.779380000000001
2001-02-05,4.7745
2001-02-06,4.7725
2001-02-07,4.772130000000001
2001-02-08,4.77325
2001-02-09,4.770630000000001
2001-02-12,4.7705
2001-02-13,4.78538
2001-02-14,4.9075
2001-02-15,4.915
2001-02-16,5.02
2001-02-19,5.5
2001-02-20,5.6
2001-02-21,5.75
2001-02-22,5.72875
2001-02-23,5.3125
2001-02-26,4.84875
2001-02-27,4.9
2001-02-28,5.0425
2001-03-01,4.82125
2001-03-02,4.82375
2001-03-05,4.815
2001-03-06,4.825
2001-03-07,4.84125
2001-03-08,4.875
2001-03-09,4.86625
2001-03-12,4.85
2001-03-13,4.81125
2001-03-14,4.80625
2001-03-15,4.80125
2001-03-16,4.78875
2001-03-19,4.8
2001-03-20,4.82
2001-03-21,4.84125
2001-03-22,4.58375
2001-03-23,4.475
2001-03-26,4.7725
2001-03-27,4.7775
2001-03-28,4.77875
2001-03-29,4.76875
2001-03-30,4.8425
2001-04-02,4.78375
2001-04-03,4.7825
2001-04-04,4.77625
2001-04-05,4.77375
2001-04-06,4.7625
2001-04-09,4.75125
2001-04-10,4.83875
2001-04-11,5.325
2001-04-12,5.75375
2001-04-13,
2001-04-16,
2001-04-17,5.77375
2001-04-18,5.18125
2001-04-19,5.45
2001-04-20,5.6
2001-04-23,5.2
2001-04-24,4.79625
2001-04-25,4.81125
2001-04-26,4.82125
2001-04-27,4.825
2001-04-30,4.95375
2001-05-01,
2001-05-02,4.84125
2001-05-03,4.83625
2001-05-04,4.8275
2001-05-07,4.82
2001-05-08,4.8156300000000005
2001-05-09,4.8125
2001-05-10,4.805
2001-05-11,4.595
2001-05-14,4.585
2001-05-15,4.57875
2001-05-16,4.575
2001-05-17,4.5675
2001-05-18,4.5575
2001-05-21,4.54375
2001-05-22,4.50125
2001-05-23,4.80625
2001-05-24,4.59875
2001-05-25,4.60875
2001-05-28,4.6
2001-05-29,4.5925
2001-05-30,4.57375
2001-05-31,4.62125
2001-06-01,4.560630000000001
2001-06-04,4.55375
2001-06-05,4.5425
2001-06-06,4.53125
2001-06-07,4.50625
2001-06-08,4.54563
2001-06-11,4.54188
2001-06-12,4.54125
2001-06-13,4.5425
2001-06-14,4.54438
2001-06-15,4.535
2001-06-18,4.535
2001-06-19,4.5325
2001-06-20,4.53375
2001-06-21,4.40375
2001-06-22,4.5475
2001-06-25,4.545
2001-06-26,4.5775
2001-06-27,4.57375
2001-06-28,4.57
2001-06-29,4.79625
2001-07-02,4.56
2001-07-03,4.54625
2001-07-04,4.54
2001-07-05,4.5325
2001-07-06,4.53625
2001-07-09,4.53625
2001-07-10,4.53375
2001-07-11,4.5325
2001-07-12,4.53125
2001-07-13,4.53125
2001-07-16,4.53313
2001-07-17,4.53063
2001-07-18,4.52875
2001-07-19,4.4475
2001-07-20,4.37875
2001-07-23,4.45
2001-07-24,4.54
2001-07-25,4.54
2001-07-26,4.54
2001-07-27,4.5375
2001-07-30,4.53875
2001-07-31,4.6275
2001-08-01,4.53125
2001-08-02,4.50375
2001-08-03,4.53125
2001-08-06,4.53125
2001-08-07,4.5325
2001-08-08,4.53375
2001-08-09,4.53
2001-08-10,4.53125
2001-08-13,4.53
2001-08-14,4.5275
2001-08-15,4.5275
2001-08-16,4.52875
2001-08-17,4.53
2001-08-20,4.53
2001-08-21,4.53375
2001-08-22,4.4825
2001-08-23,4.49625
2001-08-24,4.5275
2001-08-27,4.52
2001-08-28,4.515
2001-08-29,4.42875
2001-08-30,4.41625
2001-08-31,4.39125
2001-09-03,4.31875
2001-09-04,4.31375
2001-09-05,4.305
2001-09-06,4.30375
2001-09-07,4.30625
2001-09-10,4.29375
2001-09-11,4.2975
2001-09-12,4.3675
2001-09-13,4.26875
2001-09-14,4.2575
2001-09-17,4.2375
2001-09-18,3.7975
2001-09-19,3.61438
2001-09-20,3.2
2001-09-21,3.12375
2001-09-24,3.795
2001-09-25,3.79875
2001-09-26,3.80125
2001-09-27,3.79875
2001-09-28,3.86
2001-10-01,3.78125
2001-10-02,3.77375
2001-10-03,3.76
2001-10-04,3.7575
2001-10-05,3.72625
2001-10-08,3.7375
2001-10-09,4.0575
2001-10-10,3.9525
2001-10-11,3.94625
2001-10-12,4.0
2001-10-15,3.89
2001-10-16,3.85625
2001-10-17,4.39375
2001-10-18,4.45125
2001-10-19,4.7
2001-10-22,4.75
2001-10-23,4.75
2001-10-24,3.775
2001-10-25,3.69375
2001-10-26,3.795
2001-10-29,3.775
2001-10-30,3.78
2001-10-31,3.85125
2001-11-01,3.77375
2001-11-02,3.7825
2001-11-05,3.77625
2001-11-06,4.15
2001-11-07,3.90125
2001-11-08,3.7
2001-11-09,3.895
2001-11-12,3.85
2001-11-13,3.51375
2001-11-14,3.3925
2001-11-15,3.33
2001-11-16,3.31875
2001-11-19,3.27
2001-11-20,3.375
2001-11-21,3.365
2001-11-22,3.45
2001-11-23,3.29
2001-11-26,3.3225
2001-11-27,3.3225
2001-11-28,3.32
2001-11-29,3.31875
2001-11-30,3.38875
2001-12-03,3.30875
2001-12-04,3.3
2001-12-05,3.285
2001-12-06,3.2775
2001-12-07,3.275
2001-12-10,3.285
2001-12-11,3.3
2001-12-12,3.3025
2001-12-13,3.31
2001-12-14,3.31375
2001-12-17,3.31125
2001-12-18,3.3175
2001-12-19,3.33125
2001-12-20,3.25625
2001-12-21,3.075
2001-12-24,3.4625
2001-12-25,
2001-12-26,
2001-12-27,3.6625
2001-12-28,3.8125
2001-12-31,
2002-01-01,
2002-01-02,3.3425
2002-01-03,3.48125
2002-01-04,3.43625
2002-01-07,3.44125
2002-01-08,3.3625
2002-01-09,3.3625
2002-01-10,3.345
2002-01-11,3.35
2002-01-14,3.345
2002-01-15,3.3406300000000004
2002-01-16,3.3431300000000004
2002-01-17,3.34
2002-01-18,3.33375
2002-01-21,3.31625
2002-01-22,3.075
2002-01-23,2.695
2002-01-24,3.33125
2002-01-25,3.325
2002-01-28,3.3325
2002-01-29,3.3325
2002-01-30,3.33625
2002-01-31,3.37375
2002-02-01,3.33375
2002-02-04,3.3325
2002-02-05,3.32375
2002-02-06,3.31625
2002-02-07,3.31
2002-02-08,3.315
2002-02-11,3.31
2002-02-12,3.31
2002-02-13,3.31125
2002-02-14,3.3125
2002-02-15,3.305
2002-02-18,3.30125
2002-02-19,3.295
2002-02-20,3.22875
2002-02-21,3.14625
2002-02-22,3.14125
2002-02-25,3.31625
2002-02-26,3.3325
2002-02-27,3.33375
2002-02-28,3.35
2002-03-01,3.3325
2002-03-04,3.3275
2002-03-05,3.3125
2002-03-06,3.3025
2002-03-07,3.295
2002-03-08,3.285
2002-03-11,3.285
2002-03-12,3.28875
2002-03-13,3.28625
2002-03-14,3.27375
2002-03-15,3.26625
2002-03-18,3.25
2002-03-19,3.19125
2002-03-20,3.14
2002-03-21,3.01125
2002-03-22,3.23375
2002-03-25,3.33
